"Planet Name";"Pl. Mass";"Pl. Radius";"Pl. Period";"Pl. Semi-axis";"Pl. Ecc.";"Pl. Incl.";"Ang. Dist.";"Pl. Transit Time";"Pl. Secondary Transit Time";"Pl. Tperi";"Pl. omega";"St. Dist";"St. Spec. Type";"St. Mass";"St. [Fe/H]";"St. Right Asc.";"St. Decli.";"St. Mag. V.";"St. Mag. I";"St. Mag. H";"St. Mag. J";"St. Mag. K";"St. Radius";"St. Effect Temp";"St. Age";
"Kepler-28 c";"1.36";"0.3";"8.9858";"0.081";;;;"2454981.7277";;;;;;"0.75";"0.34";"19 28 33";"+42 25 46";"15.5";;;;;"0.7";"4590";;
"Kepler-29 b";"0.4";"0.32";"10.3376";"0.09";;;;"2454982.75";;;;;;"1";;"19 53 24";"+47 29 28";"15.5";;;;;"0.96";"5750";;
"Kepler-29 c";"0.3";"0.26";"13.2907";"0.11";;;;"2454978.471";;;;;;"1";;"19 53 24";"+47 29 28";"15.5";;;;;"0.96";"5750";;
"Kepler-30 b";"0.2";"0.33";"29.329";"0.18";;;;"2454983.04";;;;;;"0.99";"0.18";"19 01 08";"+38 56 50";"15.5";;;;;"0.95";"5498";;
"Kepler-30 c";"9.1";"1.29";"60.3251";"0.3";;;;"2455076.904";;;;;;"0.99";"0.18";"19 01 08";"+38 56 50";"15.5";;;;;"0.95";"5498";;
"Kepler-30 d";"17";"0.96";"143.213";"0.5";;;;"2454987.22";;;;;;"0.99";"0.18";"19 01 08";"+38 56 50";"15.5";;;;;"0.95";"5498";;
"Kepler-31 b";"6.8";"0.38";"20.8613";"0.16";;;;"2454992.141";;;;;;"1.21";"-0.08";"19 36 06";"+45 51 11";"15.5";;;;;"1.22";"6340";;
"Kepler-31 c";"4.7";"0.38";"42.6318";"0.26";;;;"2454974.191";;;;;;"1.21";"-0.08";"19 36 06";"+45 51 11";"15.5";;;;;"1.22";"6340";;
"Kepler-32 b";"4.1";"0.37";"5.90124";"0.05";;;;"2454974.902";;;;;;"0.58";;"19 51 22";"+46 34 27";"16";;;;;"0.53";"3900";;
"Kepler-32 c";"0.5";"0.33";"8.7522";"0.09";;;;"2454977.378";;;;;;"0.58";;"19 51 22";"+46 34 27";"16";;;;;"0.53";"3900";;
"Kepler-33 b";;"0.16";"5.66793";"0.0677";;"86.39";;"2454964.8981";;;;;;"1.291";;"19 16 19";"+46 00 19";"14";;;;;"1.82";"5904";"4.27";
"Kepler-33 c";;"0.29";"13.17562";"0.1189";;"88.19";;"2454976.6764";;;;;;"1.291";;"19 16 19";"+46 00 19";"14";;;;;"1.82";"5904";"4.27";
"Kepler-33 d";;"0.48";"21.77596";"0.1662";;"88.71";;"2454968.8715";;;;;;"1.291";;"19 16 19";"+46 00 19";"14";;;;;"1.82";"5904";"4.27";
"Kepler-33 e";;"0.36";"31.7844";"0.2138";;"88.94";;"2454968.8715";;;;;;"1.291";;"19 16 19";"+46 00 19";"14";;;;;"1.82";"5904";"4.27";
"Kepler-33 f";;"0.4";"41.02902";"0.2535";;;;"2455005.5763";;;;;;"1.291";;"19 16 19";"+46 00 19";"14";;;;;"1.82";"5904";"4.27";
"Kepler-34(AB) b";"0.22";"0.764";"288.822";"1.0896";"0.182";"90.355";"0.000727";"2454969.2";;;;"1499";"G";"2.0687";"-0.07";"19 45 45";"+44 38 30";"15";;;;;"1.1";"5913";;
"Kepler-35(AB) b";"0.127";"0.728";"131.458";"0.60347";"0.042";"90.76";"0.000367";"2454965.85";;;;"1645";"G";"1.6971";"-0.34";"19 37 59";"+46 41 24";"16";;;;;"1";"5606";;
"Kepler-4 b";"0.077";"0.357";"3.21346";"0.0456";"0.0";"89.76";"8.3e-05";"2454956.6127";;;;"550";"G0";"1.223";"0.17";"19 02 28";"+50 08 09";"12.7";;;;;"1.487";"5857";"4.5";
"Kepler-42 b";"0.009";"0.07";"1.2137672";"0.0116";;;"0.0003";;;;;"38.7";;"0.13";"-0.48";"19 28 53";"+44 37 10";"16.12";;;;;"0.17";"3068";;
"Kepler-42 c";"0.006";"0.065";"0.45328509";"0.006";;;"0.000155";;;;;"38.7";;"0.13";"-0.48";"19 28 53";"+44 37 10";"16.12";;;;;"0.17";"3068";;
"Kepler-42 d";"0.003";"0.051";"1.856169";"0.0154";;;"0.000398";;;;;"38.7";;"0.13";"-0.48";"19 28 53";"+44 37 10";"16.12";;;;;"0.17";"3068";;
"Kepler-5 b";"2.114";"1.431";"3.54846";"0.05064";"0.0";"86.3";;"2454955.90122";;;;;;"1.374";"0.04";"19 57 38";"+44 02 06";;;;;;"1.793";"6297";;
"Kepler-6 b";"0.669";"1.323";"3.234723";"0.04567";"0.0";"86.8";;"2454954.48636";;;;;;"1.209";"0.34";"19 47 21";"+48 14 24";;;;;;"1.391";"5647";"3.8";
"Kepler-7 b";"0.433";"1.614";"4.885525";"0.06246";"0.1";"85.18";;"2454967.27599";"2454974.6086";;"357.1";;;"1.36";"0.11";"19 14 20";"+41 05 23";;;;;;"2.02";"5933";"3.5";
"Kepler-8 b";"0.603";"1.419";"3.52254";"0.0483";"0.0";"84.07";"3.6e-05";"2454954.1182";;;;"1330";;"1.213";"-0.055";"18 45 09";"+42 27 04";"13.9";;;;;"1.486";"6213";"3.84";
"Kepler-9 b";"0.252";"0.842";"19.243158";"0.14";;"88.55";;"5073.43381";;;;;;"1";"0.17";"19 02 18";"+38 24 03";"13.9";;;;;"1.1";"5722";"3";
"Kepler-9 c";"0.171";"0.823";"38.90861";"0.225";;"88.12";;"5164.18301";;;;;;"1";"0.17";"19 02 18";"+38 24 03";"13.9";;;;;"1.1";"5722";"3";
"Kepler-9 d";"0.022";"0.147";"1.592851";"0.0273";;;;"2455015.094";;;;;;"1";"0.17";"19 02 18";"+38 24 03";"13.9";;;;;"1.1";"5722";"3";
"KIC 10905746 b";;"0.237";"9.8844";"0.0751";;"88.42";;"2454971.4045";;;;;;"0.578";"-0.23";"18 54 31";"+48 23 28";"13";;;;;"0.548";"4240";;
"KIC 6185331 b";;"0.72";"49.76971";"0.2672";;"89.2";;"2454992.9877";;;;;;"1.027";"0.11";"18 57 06";"+41 32 06";"15";;;;;"1.27";"5619";"8.7";
"KOI-13 b";"8.3";"1.83";"1.7637";;;;;"2455138.7439";;;;;;;"-0.14";"19 07 53";"+46 52 06";"10";;;;;"2.44";"8848";;
"KOI-135 b";"3.23";"1.2";"3.024095";"0.0449";"0.025";"84.35";"2.3e-05";"2454965.4159";;;;"1950";"G0V/G0IV";"1.32";"0.33";"19 00 58";"+46 40 06";"14";;;;;"1.2";"6041";"2.8";
"KOI-196 b";"0.49";"0.841";"1.855558";"0.029";"0.0";"88.3";"4e-05";"2454970.1803";;;;"730";"G2V";"0.94";"-0.09";"19 38 03";"+45 58 54";"14.5";;;;;"0.966";"5660";"7.4";
"KOI-200 b";"0.44";"0.79";"7.34";"0.075";;;;;;;;;;;"0.15";"19 32 22";"+41 21 20";"15";;;;;"0.76";"5774";;
"KOI-202 b";"0.88";"1.02";"1.72";"0.029";;;;;;;;;;;"0.12";"19 04 26";"+43 40 52";"14.5";;;;;"1.04";"5912";;
"KOI-204 b";"1.02";"1.24";"3.24674";"0.0455";"0.021";"83.78";"2e-05";"2454966.3781";;;;"2250";"G2IV";"1.19";"0.26";"20 00 25";"+45 45 44";"15";;;;;"1.52";"5757";"6.95";
"KOI-206 b";"2.9";"0.7";"5.33";"0.059";;;;;;;;;;;"-0.13";"19 50 22";"+40 58 38";"14.5";;;;;"1.16";"5771";;
"KOI-254 b";"0.505";"0.96";"2.455239";"0.027";"0.11";"87";"8.1e-05";;;;"230";"333";"M";"0.59";"0.13";"19 31 30";"+41 03 51";"16.88";;;;;"0.55";"3820";;
"KOI-423 b";"18";"1.22";"21.0874";"0.155";"0.121";"88.83";"0.000129";"2454972.5959";;;"98.9";"1200";"F7IV";"1.1";"-0.29";"19 47 50";"+46 02 04";"14.3";;;;;"1.39";"6260";"5.08";
"KOI-428 b";"2.2";"1.17";"6.87349";"0.08";"0.0";"89.7";"3e-05";"2455005.5198";;;;"2700";"F5IV";"1.48";"0.1";"19 47 15";"+47 31 36";"14.76";;;;;"2.13";"6510";"2.8";
"KOI-55 b";"0.014";"0.068";"0.2401";"0.006";;;"5e-06";;;;;"1180";"sdB";"0.496";;"19 45 25";"+41 05 34";"14.87";;;;;"0.203";"27730";"0.0184";
"KOI-55 c";"0.0021";"0.078";"0.34289";"0.0076";;;"6e-06";;;;;"1180";"sdB";"0.496";;"19 45 25";"+41 05 34";"14.87";;;;;"0.203";"27730";"0.0184";
"KOI-680 b";"0.62";"0.65";"8.6";"0.08";;;;;;;;;;;"-0.46";"19 29 09";"+43 11 50";"14";;;;;"1.16";"6060";;
"KOI-730 b";;"0.31";"14.7903";"0.12";;;;"245009.733";;;;;;"1.07";;"19 53 16";"+47 16 46";"15";;;;;"1.1";"5590";;
"KOI-730 c";;"0.23";"9.8499";"0.092";;;;"2454991.354";;;;;;"1.07";;"19 53 16";"+47 16 46";"15";;;;;"1.1";"5590";;
"KOI-730 d";;"0.25";"19.7216";"0.145";;;;"245968.117";;;;;;"1.07";;"19 53 16";"+47 16 46";"15";;;;;"1.1";"5590";;
"KOI-730 e";;"0.18";"7.3831";"0.076";;;;"245970.54";;;;;;"1.07";;"19 53 16";"+47 16 46";"15";;;;;"1.1";"5590";;
"KOI-872 b";"6";"0.812";"33.60134";"0.1967";"0.01";"89.033";"0.00023";"2455053.2826";;;;"857";;"0.902";"0.41";"19 17 05";"+42 36 15";"15.3";;;;;"0.94";"5155";"9.9";
"KOI-872 c";"0.376";;"57.004";"0.2799";"0.0145";"87.25";"0.000327";;;;"329.4";"857";;"0.902";"0.41";"19 17 05";"+42 36 15";"15.3";;;;;"0.94";"5155";"9.9";
"ksi Aql b";"2.8";;"136.75";"0.68";"0.0";;"0.010845";;;"3001.7";;"62.7";"G9IIIb";"2.2";"-0.205";"19 54 15";"+08 27 41";"4.72";;"2.37";"2.85";"2.17";"12";"4780";;
"LKCA 15 b";"6";;"40000";"15.7";;;"0.108276";;;;;"145";"K5V";"0.97";;"04 39 18";"+22 21 03";"11.91";;;;;;;"0.002";
"MOA-2007-BLG-192-L b";"0.01";;;"0.66";;;"0.000943";;;;;"700";"M";"0.06";;"18 08 04";"-27 09 00";;"19.81";;"19.6";;;;;
"MOA-2007-BLG-400-L b";"0.9";;;"0.85";;;"0.000142";;;;;"6000";;"0.35";;"18 09 42";"-29 13 27";;;;;;;;;
"MOA-2008-BLG-310-L b";"0.23";;;"1.25";;;"0.000208";;;;;"6000";;"0.67";;"17 54 14";"-34 46 41";;;"23.38";;;;;;
"MOA-2009-BLG-266L b";"0.0327";;"2780";"3.2";;;"0.001053";;;;;"3040";;"0.56";;"17 48 06";"-35 00 19";;;;;;;;;
"MOA-2009-BLG-319 b";"0.157";;;"2";;;"0.000328";;;;;"6100";"K";"0.38";;"18 06 58";"-26 49 11";;;;;;;;;
"MOA-2009-BLG-387L b";"2.6";;"1970";"1.8";;;"0.000316";;;;;"5700";"M";"0.19";;"17 53 51";"-33 59 25";;;;;;;;;
"MOA-2010-BLG-477L b";"1.5";;;"2";;;"0.00087";;;;;"2300";"K";"0.67";;"18 06 07";"-31 27 16";;;;;;;;;
"MOA-2011-BLG-293L b";"2.4";;;"1";;;"0.00014";;;;;"7150";;"0.44";;"17 55 39";"-28 28 37";;;;;;;;;
"MOA-bin-1 b";"3.7";;;"8.3";;;"0.001627";;;;;"5100";;"0.75";;"17 51 10";"-29 47 38";;"23";;;;;;;
"mu Ara b";"1.676";;"643.25";"1.5";"0.128";;"0.098039";;;"2452365.6";"22";"15.3";"G3 IV-V";"1.08";"0.28";"17 44 08";"-51 50 02";"5.15";;;;;"1.245";"5700";"6.41";
"mu Ara c";"0.03321";;"9.6386";"0.09094";"0.172";;"0.005944";;;"2452991.1";"212.7";"15.3";"G3 IV-V";"1.08";"0.28";"17 44 08";"-51 50 02";"5.15";;;;;"1.245";"5700";"6.41";
"mu Ara d";"0.5219";;"310.55";"0.921";"0.0666";;"0.060196";;;"2452708.7";"189.6";"15.3";"G3 IV-V";"1.08";"0.28";"17 44 08";"-51 50 02";"5.15";;;;;"1.245";"5700";"6.41";
"mu Ara e";"1.814";;"4205.8";"5.235";"0.0985";;"0.342157";;;"2452955.2";"57.6";"15.3";"G3 IV-V";"1.08";"0.28";"17 44 08";"-51 50 02";"5.15";;;;;"1.245";"5700";"6.41";
"NGC 2423 3 b";"10.6";;"714.3";"2.1";"0.21";;"0.002742";;;"53213";"18";"766";;"2.4";"0.14";"07 37 09";"-13 54 24";"9.45";;;;;;;"0.75";
"NGC 4349 No 127 b";"19.8";;"677.8";"2.38";"0.19";;"0.001094";;;"54114";"61";"2176";;"3.9";;"12 24 08";"-61 52 18";"7.4";;;;;;;"0.21";
"NN Ser (ab) c";"6.91";;"5660";"5.38";"0.0";;"0.01076";;;;;"500";"WD+M";"0.646";;"15 52 56";"+12 54 47";"16.6";;;;;;;;
"NN Ser (ab) d";"2.28";;"2830";"3.39";"0.2";;"0.00678";;;"2454515";"74";"500";"WD+M";"0.646";;"15 52 56";"+12 54 47";"16.6";;;;;;;;
"nu Oph b";"22.3";;"536";"1.8";"0.13";;"0.038462";;;;;"46.8";"G9III";"2.7";;"17 59 02";"-09 46 25";"3.33";;;;;;;;
"nu Oph c";"24.5";;"3169";"5.88";"0.18";;"0.125641";;;;;"46.8";"G9III";"2.7";;"17 59 02";"-09 46 25";"3.33";;;;;;;;
"NY Vir b";"2.3";;"2900";"3.3";;;;;;;;;"B D";"0.6";;"13 38 48";"-02 01 49";"13.3";;;;;;"33000";;
"OGLE-05-071L b";"3.5";;"3600";"3.6";;;"0.001091";;;;;"3300";;"0.46";;"17 50 09";"-34 40 23";;"19.5";;;;;;;
"OGLE-05-169L b";"0.04";;"3300";"2.8";;;"0.001037";;;;;"2700";;"0.49";;"18 06 05";"-30 43 57";;"20.4";;;;;;;
"OGLE-05-390L b";"0.017";;"3500";"2.1";;;"0.000323";;;;;"6500";"M";"0.22";;"17 54 19";"-30 22 38";;"15.7";;;;;;;
"OGLE-06-109L b";"0.727";;"1790";"2.3";;"64";"0.001523";;;;;"1510";;"0.51";;"17 52 35";"-30 05 16";;;"17.17";;;;;;
"OGLE-06-109L c";"0.271";;"4931";"4.5";"0.15";"64";"0.00298";;;;;"1510";;"0.51";;"17 52 35";"-30 05 16";;;"17.17";;;;;;
"OGLE-2007-BLG-368L b";"0.0694";;;"3.3";;;"0.000559";;;;;"5900";;"0.64";;"17 56 26";"-32 14 15";;;;;;;;;
"OGLE-TR-10 b";"0.68";"1.72";"3.10129";"0.04162";"0.0";"84.5";"2.8e-05";"3890.678";;;;"1500";"G or K";"1.18";"0.28";"17 51 28";"-29 52 34";;"14.93";;;;"1.16";"6075";"1.1";
"OGLE-TR-111 b";"0.54";"1.077";"4.01451";"0.047";"0.0";"88.1";"3.1e-05";"3470.5676";;;;"1500";"G or K";"0.82";"0.12";"10 53 18";"-61 24 20";;"15.55";;;;"0.831";"5070";"1.1";
"OGLE-TR-113 b";"1.24";"1.11";"1.4324772";"0.0229";"0.0";"89.4";"1.5e-05";"3471.7782";;;;"1500";"K";"0.78";"0.14";"10 52 24";"-61 26 48";;"14.42";;;;"0.765";"4752";"0.7";
"OGLE-TR-132 b";"1.17";"1.23";"1.689868";"0.0306";"0.0";"83.4";"2e-05";"2453142.5912";;;;"1500";"F";"1.26";"0.37";"10 50 34";"-61 57 25";;"15.72";;;;"1.34";"6210";;
"OGLE-TR-182 b";"1.06";"1.47";"3.9791";"0.051";"0.0";"85.7";;"2454270.572";;;;;;"1.14";"0.37";"11 09 19";"-61 05 43";"16.84";"15.86";"14.9";"15.45";"14.74";"1.14";"5924";;
"OGLE-TR-211 b";"0.75";"1.26";"3.67724";"0.051";"0.0";"87.2";;"2453428.334";;;;;;"1.33";"0.11";"10 40 15";"-62 27 20";;"14.3";;;;"1.64";"6325";;
"OGLE-TR-56 b";"1.3";"1.2";"1.211909";"0.0225";"0.0";"78.8";"1.5e-05";"3936.598";;;;"1500";"G";"1.17";;"17 56 35";"-29 32 21";"16.6";;;;;"1.32";;"2";
"OGLE2-TR-L9 b";"4.34";"1.614";"2.4855335";"0.0308";;"79.8";"3.4e-05";"2454492.79765";;;;"900";"F3";"1.52";"-0.05";"11 07 55";"-61 08 46";;"13.97";"13.25";"13.51";"13.12";"1.53";"6933";"0.66";
"OGLE235-MOA53 b";"2.6";;;"5.1";;;"0.000981";;;;;"5200";;"0.63";;"18 05 16";"-28 53 42";;"19.7";;;;;;;
"Oph 11 b";"21";;"730000";"243";;;"1.675862";;;;;"145";"M9";"0.162";;"16 22 25";"-24 05 14";;;;;"14.03";;"2375";"0.011";
"PSR 1257 12 b";"7e-05";;"25.262";"0.19";"0.0";;"0.00038";;;;;"500";;;;"13 00 04";"+12 40 56";;;;;;;;"1";
"PSR 1257 12 c";"0.013";;"66.5419";"0.36";"0.0186";"53";"0.00072";;;;"250.4";"500";;;;"13 00 04";"+12 40 56";;;;;;;;"1";
"PSR 1257 12 d";"0.012";;"98.2114";"0.46";"0.0252";"47";"0.00092";;;;"108.3";"500";;;;"13 00 04";"+12 40 56";;;;;;;;"1";
"PSR 1719-14 b";"1";"0.4";"0.090706293";"0.0004";"0.06";;;;;"2455235.51652439";;"1200";;"1.4";;"17 19 10";"-14 38 01";;;;;;;;"12.5";
"PSR B1620-26 b";"2.5";;"36525";"23";;;"0.006053";;;;;"3800";;"1.95";;"16 23 38";"-26 31 53";"24";;;;;;;;
"Qatar-1 b";"1.09";"1.164";"1.420033";"0.02343";"0.0";"83.47";;"2455518.4102";;;;;"K";"0.85";"0.2";"20 13 32";"+65 09 43";"12.84";;;;;"0.823";"4861";"4";
"Qatar-2 b";"2.487";"1.144";"1.3371182";"0.02149";"0.0";"88.3";;"2455624.26679";;;;;"K";"0.74";;"13 50 37";"-06 48 14";"13.3";;;;;"0.713";"4645";;
"Ross 458(AB) c";"8.5";;;"1168";;;"10.245614";;;;;"114";"M2V";"0.6";;"13 00 47";"+12 22 33";"9.76";;;;;;;"0.475";
"RR Cae b";"4.2";;"4350";"5.3";"0.0";;;;;;;;"DAZ8+dM";"0.622";;"04 21 06";"-48 39 07";"14.4";;;;;;;;
"SR 12 AB c";"13";;;"1083";;;"8.664";;;;;"125";"K4-M2.5";;;"16 27 20";"-24 41 40";"13.28";;;;;;;"0.001";
"SWEEPS-04 ";"3.8";"0.81";"4.2";"0.055";;"87";"6e-06";;;;;"8500";;"1.24";;"17 58 54";"-29 11 21";"18.8";;;;;"1.18";;;
"SWEEPS-11 ";"9.7";"1.13";"1.796";"0.03";;"84";"4e-06";;;;;"8500";;"1.1";;"17 59 03";"-29 11 54";"19.83";;;;;"1.45";;;
"tau Boo b";"3.9";;"3.3135";"0.046";"0.018";;"0.002949";;;;"254";"15.6";"F7 V";"1.3";"0.28";"13 47 17";"+17 27 22";"4.5";;;;;"1.331";"6309";"2.52";
"tau Gem b";"18.1";;"305";;;;;;;;;"92.25";"K2III";;;"07 11 08";"+30 14 43";"4.4";;;;;;;;
"TrES-1 ";"0.761";"1.099";"3.0300722";"0.0393";"0.0";"88.4";"0.00025";"2453186.806341";;;;"157";"K0V";"0.88";"0.001";"19 04 09";"+36 37 57";"11.79";;;;;"0.85";;"2.5";
"TrES-2 ";"1.253";"1.169";"2.470613402";"0.03556";"0.0";"83.874";"0.000162";"2453957.635486";"14994.0605";;;"220";"G0V";"0.98";"-0.15";"19 07 14";"+49 18 59";"11.41";;;;;"1";"5850";"5.1";
"TrES-3 ";"1.91";"1.305";"1.30618608";"0.0226";"0.0";"82.15";;"2454538.58069";"14989.8701";;;;"G";"0.924";"-0.19";"17 52 07";"+37 32 46";"12.4";;;;;"0.813";"5720";;
"TrES-4 ";"0.917";"1.706";"3.5539268";"0.05084";"0.0";"82.81";"0.000106";"2454230.90524";;;;"479";"F";"1.388";"0.14";"17 53 13";"+37 12 42";"11.592";;;;;"1.798";"6200";"2.9";
"TrES-5 ";"1.778";"1.209";"1.4822446";"0.02446";;"84.529";"6.8e-05";"2455443.25153";;;;"360";;"0.893";"0.2";"20 20 53";"+59 26 57";"13.72";;;;;"0.866";"5171";"7.38";
"ups And b";"0.69";;"4.617136";"0.059";"0.013";"30";"0.00438";;;"4425.02";"51";"13.47";"F8 V";"1.27";"0.09";"01 36 48";"+41 24 38";"4.09";;;;;"1.631";"6212";"3.8";
"ups And c";"14.57";;"237.7";"0.861";"0.24";"8";"0.06392";;;"49956.109";"250.8";"13.47";"F8 V";"1.27";"0.09";"01 36 48";"+41 24 38";"4.09";;;;;"1.631";"6212";"3.8";
"ups And d";"10.19";;"1302.61";"2.55";"0.274";"24";"0.18931";;;"50008.57";"240.8";"13.47";"F8 V";"1.27";"0.09";"01 36 48";"+41 24 38";"4.09";;;;;"1.631";"6212";"3.8";
"ups And e";"1.059";;"3848.86";"5.2456";"0.00536";;"0.389428";;;;"367.3";"13.47";"F8 V";"1.27";"0.09";"01 36 48";"+41 24 38";"4.09";;;;;"1.631";"6212";"3.8";
"UScoCTIO 108 b";"16";;;"670";;;"4.62069";;;;;"145";"M7";"0.057";;"16 05 54";"-18 18 43";;"15.65";"15.07";"14.42";;;"2600";"0.011";
"UZ For(ab) d";"7.7";;"1900";"2.8";"0.05";;;;;;;;"Catac. var.";"0.84";;"03 35 29";"-25 44 22";"18.2";;;;;;;;
"V391 Peg b";"3.2";;"1170";"1.7";"0.0";;"0.001214";;;;;"1400";"sdB";"0.5";;"22 04 12";"+26 25 08";"14.57";;"15.16";"15.17";"15.38";"0.23";"29300";"10";
"WASP-1 b";"0.86";"1.484";"2.5199464";"0.0382";"0.0";"88.65";;"2454461.863";;;;;"F7V";"1.24";;"00 20 40";"+31 59 24";"11.79";;;;;"1.382";"6200";;
"WASP-10 b";"3.06";"1.08";"3.0927616";"0.0371";"0.057";"86.8";"0.000412";"2454357.85803";;;"2.737";"90";"K5";"0.71";"0.03";"23 15 58";"+31 27 46";"12.7";;;;;"0.783";"4675";"0.8";
"WASP-11/HAT-P-10 b";"0.46";"1.045";"3.722469";"0.0439";"0.0";"88.5";"0.000351";"2454729.90631";;;;"125";"K3V";"0.82";"0.13";"03 09 29";"+30 40 25";"11.89";;;;;"0.81";"4980";"11.2";
"WASP-12 b";"1.404";"1.736";"1.0914222";"0.02293";"0.0";"86";"5.4e-05";"2454508.97605";;;;"427";"G0";"1.35";"0.3";"06 30 33";"+29 40 20";"11.69";"11.03";"10.23";"10.48";"10.19";"1.599";"6300";"1.7";
"WASP-13 b";"0.485";"1.365";"4.353011";"0.05379";"0.0";"85.64";"0.000345";"2455575.5136";;;;"156";"G1V";;;"09 20 25";"+33 52 57";"10.42";;;;;;"5826";;
"WASP-14 b";"7.341";"1.281";"2.2437661";"0.036";"0.087";"84.79";"0.000225";"2454963.93676";"2455274.6617";;"-107.1";"160";"F5V";"1.211";;"14 33 06";"+21 53 41";"9.75";;;;;"1.306";"6475";"0.75";
"WASP-15 b";"0.542";"1.428";"3.7520656";"0.0499";"0.0";"85.5";"0.000162";"2454584.69823";;;;"308";"F7";"1.18";"-0.17";"13 55 43";"-32 09 35";"10.9";;;;;"1.477";"6300";"3.9";
"WASP-16 b";"0.855";"1.008";"3.1186009";"0.0421";"0.0";"85.22";;"2454584.42878";;;;;"G3V";"1.022";"0.01";"14 18 44";"-20 16 32";"11.3";;;;;"0.946";"5550";"2.3";
"WASP-17 b";"0.486";"1.991";"3.735438";"0.0515";"0.028";"86.83";;"2454577.85806";;;"-82.6";;"F4";"1.2";"-0.19";"15 59 51";"-28 03 42";"11.6";;;;;"1.38";"6650";"3";
"WASP-18 b";"10.43";"1.165";"0.9414518";"0.02047";"0.0088";"86";"0.000205";"2454221.48163";;;"-91";"100";"F6";"1.24";;"01 37 25";"-45 40 40";"9.3";;;;;"1.23";"6400";"0.63";
"WASP-19 b";"1.168";"1.386";"0.78884";"0.01655";"0.0046";"79.4";;"2455168.96801";"2455578.7676";;"3";;"G8V";"0.97";"0.02";"09 53 40";"-45 39 33";"12.3";;;;;"0.99";"5500";"0.6";
"WASP-2 b";"0.847";"1.079";"2.15222144";"0.03138";"0.0";"84.73";"0.000218";"2453991.5153";;;;"144";"K1V";"0.84";"-0.08";"20 30 54";"+06 25 46";"11.98";;;;;"0.834";"5150";;
"WASP-20 b";"0.3";"0.9";"4";;;;;;;;;;;;;;;;;;;;;;;
"WASP-21 b";"0.3";"1.21";"4.322506";"0.052";"0.0";"87.29";"0.000226";"2454743.04185";;;;"230";"G3V";"1.01";"-0.4";"23 09 58";"+18 23 46";"11.6";;;;;"1.06";"5800";;
"WASP-22 b";"0.588";"1.158";"3.5327313";"0.04698";"0.0";"88.26";"0.000157";"2455497.39967";;;;"300";;"1.1";"-0.05";"03 31 16";"-23 49 11";"12";;;;;"1.13";"6000";;
"WASP-23 b";"0.884";"0.962";"2.9444256";"0.0376";"0.062";"88.39";;"5320.12363";;;;;"K1V";"0.78";;"06 44 31";"-42 45 43";"12.7";;;;;"0.765";"5150";;
"WASP-24 b";"1.032";"1.104";"2.3412083";"0.0359";"0.0";"83.64";"0.000109";"2455081.37941";;;;"330";"F8-9";"1.129";"0.07";"15 08 52";"+02 20 36";"11.3";;;;;"1.147";"6075";"1.6";
"WASP-25 b";"0.58";"1.26";"3.76483";"0.0474";"0.0";"87.7";"0.00028";;;;;"169";"G4";"1";"-0.05";"13 01 26";"-27 31 20";"11.9";;;;;"0.95";"5750";;
"WASP-26 b";"1.028";"1.281";"2.7566004";"0.03985";"0.0";"82.91";"0.000159";"2455228.38842";;;;"250";"G0";"1.12";"-0.02";"00 18 25";"-15 16 02";"11.3";;;;;"1.34";"5950";"6";
"WASP-28 b";"0.91";"1.12";"3.408821";"0.0455";"0.046";"89.1";"0.000136";"2455116.5573";;;;"334";"F8-G0";"1.08";"-0.29";"23 34 28";"-01 34 48";"12";;;;;"1.05";"6100";;
"WASP-29 b";"0.244";"0.792";"3.922727";"0.0457";"0.03";"88.8";"0.000571";"2455320.2431";;;;"80";"K4V";"0.825";"0.11";"23 51 31";"-39 54 24";"11.3";;;;;"0.846";"4800";"15";
"WASP-3 b";"2.06";"1.454";"1.8468372";"0.0313";"0.0";"85.06";"0.00014";"2454605.55915";;;;"223";"F7V";"1.24";;"18 34 32";"+35 39 42";"10.64";;;;;"1.31";"6400";;
"WASP-31 b";"0.478";"1.537";"3.405909";"0.04657";"0.0";"84.54";"0.000116";"5189.2828";;;;"400";"F";"1.16";"-0.19";"11 17 45";"-19 03 17";"11.7";;;;;"1.24";"6200";;
"WASP-32 b";"3.6";"1.18";"2.71865";"0.0394";"0.018";"85.3";;"2455151.054";;;"160";;"G";"1.1";"-0.13";"00 15 51";"+01 12 02";"11.3";;;;;"1.11";"6100";;
"WASP-33 b";"4.59";"1.438";"1.21986967";"0.02558";"0.0";"87.67";"0.000221";"2454590.17936";"2455499.58";;;"116";"A5";"1.495";"0.1";"02 26 51";"+37 33 02";"8.3";;;;;"1.444";"7400";;
"WASP-34 b";"0.59";"1.22";"4.3176782";"0.0524";"0.038";"85.2";"0.000437";"2454647.55358";;;"-40.2";"120";"G5";"1.01";"-0.02";"11 01 36";"-23 51 38";"10.4";;;;;"0.93";"5700";;
"WASP-35 b";"0.72";"1.32";"3.161575";"0.04317";"0.0";"87.96";;"5531.47907";;;;;;;;;;;;;;;;;;
"WASP-36 b";"2.279";"1.269";"1.5373653";"0.02624";"0.0";"83.65";"5.8e-05";"2455569.83731";;;;"450";"G2";"1.02";"-0.31";"08 45 19";"-08 01 37";"12.7";;;;;"0.943";"5881";"3";
