"Planet Name";"Pl. Mass";"Pl. Radius";"Pl. Period";"Pl. Semi-axis";"Pl. Ecc.";"Pl. Incl.";"Ang. Dist.";"Pl. Transit Time";"Pl. Secondary Transit Time";"Pl. Tperi";"Pl. omega";"St. Dist";"St. Spec. Type";"St. Mass";"St. [Fe/H]";"St. Right Asc.";"St. Decli.";"St. Mag. V.";"St. Mag. I";"St. Mag. H";"St. Mag. J";"St. Mag. K";"St. Radius";"St. Effect Temp";"St. Age";
"HD 8574 b";"2.11";;"227.55";"0.77";"0.288";;"0.017421";;;"2451467.5";"3.6";"44.2";"F8";"1.17";"0.05";"01 25 12";"+28 34 00";"7.12";;;;;"1.37";"6080";"7.13";
"HD 86081 b";"1.5";;"2.1375";"0.039";"0.008";;"0.000429";;;"2453694.8";"251";"91";"F8V";"1.21";"0.257";"09 56 06";"-03 48 30";"8.73";;;;;"1.22";"6028";"6.21";
"HD 86226 b";"1.5";;"1534";"2.6";"0.73";;"0.061205";;;"24552240";"58";"42.48";"G2V";"1.02";"-0.04";"09 56 30";"-24 05 58";"7.93";;;;;;;;
"HD 86264 b";"7";;"1475";"2.86";"0.7";;"0.039394";;;"15172";"306";"72.6";"F7V";"1.42";"0.202";"09 56 58";"-15 53 42";"7.42";;;;;"1.88";"6210";"2.24";
"HD 8673 b";"14.2";;"1634";"3.02";"0.723";;"0.078954";;;"2454420.5";"323.4";"38.25";"F7 V";"1.312";;"01 26 08";"+34 34 46";"7.57";;;;;"1.54";"6413";"1.95";
"HD 87883 b";"12.1";;"2754";"3.6";"0.53";"8.5";"0.198895";;;"11139";"191";"18.1";"K0V";"0.82";"0.093";"10 08 43";"+34 14 32";"7.57";;;;;"0.76";"4980";"9.8";
"HD 88133 b";"0.22";;"3.416";"0.047";"0.133";;"0.000631";;;"3016.31";"349";"74.5";"G5 IV";"1.2";"0.34";"10 10 07";"+18 11 12";"8.01";;;;;"1.93";"5494";"9.56";
"HD 89307 b";"2";;"2199";"3.34";"0.25";;"0.108091";;;"2454549";"14";"30.9";"G0V";"1.028";"-0.14";"10 18 21";"+12 37 15";"7.06";;;;;"1.05";"5950";"6.76";
"HD 89744 b";"7.2";;"256";"0.88";"0.7";"54";"0.022";;;;"195";"40";"F7 V";"1.4";"0.18";"10 22 10";"+41 13 46";"5.74";;;;;"2.14";"6196";"2.04";
"HD 90156 b";"0.057";;"49.77";"0.25";"0.31";;"0.006313";;;;"113";"39.6";"G5V";"0.84";"-0.24";"10 23 55";"-29 38 44";"6.95";;;;;;"5599";"4.4";
"HD 92788 b";"3.86";;"325.81";"0.97";"0.334";"8";"0.029555";;;"759.2";"276.4";"32.82";"G5";"1.13";"0.32";"10 42 48";"-02 11 01";"7.31";;;;;"0.99";"5559";"3.78";
"HD 93083 b";"0.37";;"143.58";"0.477";"0.14";;"0.016505";;;"53181.7";"333.5";"28.9";"K3 V";"0.7";"0.15";"10 44 20";"-33 34 37";"8.3";;;;;;"4995";"6";
"HD 93385 b";"0.0263";;"13.186";"0.1116";"0.15";;"0.002645";;;;;"42.2";"G2V";;;"10 46 15";"-41 27 52";"7.49";;;;;;;;
"HD 93385 c";"0.0318";;"46.025";"0.257";"0.24";;"0.00609";;;;;"42.2";"G2V";;;"10 46 15";"-41 27 52";"7.49";;;;;;;;
"HD 9446 b";"0.7";;"30.052";"0.189";"0.2";;"0.003566";;;"2454854.4";"-145";"53";"G5V";"1";"0.09";"01 33 20";"+29 15 55";"8.35";;;;;"1";"5793";;
"HD 9446 c";"1.82";;"192.9";"0.654";"0.06";;"0.01234";;;"2454510";"-260";"53";"G5V";"1";"0.09";"01 33 20";"+29 15 55";"8.35";;;;;"1";"5793";;
"HD 95089 b";"1.2";;"507";"1.51";"0.157";;"0.010863";;;"2454983";"317";"139";"K0 IV";"1.58";"0.05";"10 58 48";"+01 43 45";"7.92";;;;;"4.9";"5002";"2.5";
"HD 9578 b";"0.62";;"494";;;;;;;;;"57.24";"G1V";"1.12";"0.11";"01 33 17";"-38 14 42";"8.21";;;;;;;;
"HD 96063 b";"0.9";;"361.1";"0.99";"0.28";;"0.006266";;;"2455260";"90";"158";"K0";"1.02";"-0.3";"11 04 44";"-02 30 48";"8.37";;;;;"4.5";"5148";"9";
"HD 96127 b";"4";;"647.3";"1.4";"0.3";;"0.002593";;;"43969.4";"162";"540";"K2III";"0.91";"-0.24";"11 05 46";"+44 18 06";"7.43";;;;;"35";"4152";;
"HD 96167 b";"0.68";;"498.9";"1.3";"0.71";;"0.015476";;;"2453057";"285";"84";"G5D";"1.31";"0.34";"11 05 15";"-10 17 29";"8.09";;;;;"1.86";"5770";"3.8";
"HD 96700 b";"0.0284";;"8.1256";"0.0774";"0.1";;"0.003023";;;;;"25.6";"G0V";;;"11 07 54";"-30 10 28";"6.5";;;;;;;;
"HD 96700 c";"0.04";;"103.49";"0.422";"0.37";;"0.016484";;;;;"25.6";"G0V";;;"11 07 54";"-30 10 28";"6.5";;;;;;;;
"HD 97658 b";"0.02";"0.262";"9.4957";"0.0797";"0.13";;"0.003777";"2455650.681";;;"192";"21.1";"K1V";"0.85";"-0.23";"11 14 33";"+25 42 37";"6.27";;;;;"0.73";"5170";;
"HD 98219 b";"1.8";;"436.9";"1.23";"0.21";;"0.009179";;;"2455140";"47";"134";"K0III/IV";"1.3";"-0.02";"11 17 48";"-23 58 31";"8.21";;;;;"4.5";"4992";"4";
"HD 98649 b";"7";;"10400";;"0.86";;;;;;;"40.3";"G4V";;;"11 20 52";"-23 13 02";"8.03";;;;;;;;
"HD 99109 b";"0.502";;"439.3";"1.105";"0.09";;"0.018264";;;"11310";"256";"60.5";"K0";"0.93";"0.315";"11 24 17";"-01 31 44";"9.1";;;;;;"5272";"12.2";
"HD 99492 b";"0.109";;"17.0431";"0.1232";"0.254";;"0.006844";;;"10468.7";"219";"18";"K2V";"0.83";"0.36";"11 26 46";"+03 00 22";"7.38";;;;;"0.96";"4740";"4";
"HD 99492 c";"0.36";;"4970";"5.4";"0.106";;"0.3";;;"9636";"38";"18";"K2V";"0.83";"0.36";"11 26 46";"+03 00 22";"7.38";;;;;"0.96";"4740";"4";
"HD 99706 b";"1.4";;"868";"2.14";"0.365";;"0.016589";;;"2455219";"359";"129";"K0";"1.72";"0.14";"11 28 30";"+43 58 00";"7.81";;;;;"5.4";"4932";"2.1";
"HIP 11952 b";"2.93";;"290";"0.81";"0.27";;"0.007297";;;"2455402";"59.3";"111";"F2V";"0.83";"-1.9";"02 34 11";"-12 23 03";"9.78";;;;;"1.6";"6040";"12.8";
"HIP 11952 c";"0.78";;"6.95";"0.07";"0.35";;"0.000631";;;"2455029.2";"61.2";"111";"F2V";"0.83";"-1.9";"02 34 11";"-12 23 03";"9.78";;;;;"1.6";"6040";"12.8";
"HIP 12961 b";"0.35";;"57.435";"0.13";"0.16";;"0.005652";;;"2454428.4";"272";"23";"M0V";"0.67";"-0.07";"02 46 43";"-23 05 12";"10.31";;;;;;;;
"HIP 13044 b";"1.25";;"16.2";"0.116";"0.25";;"0.000165";;;"5109.78";"219.8";"701";"F2";"0.8";"-2.09";"02 47 37";"-36 06 27";"9.94";;;;;"6.7";"6025";"9";
"HIP 14810 b";"3.88";;"6.673855";"0.0692";"0.1427";;"0.001308";;;"3694.598";"159.32";"52.9";"G5";"0.99";"0.26";"03 11 14";"+21 05 50";"8.52";;;;;"1";"5485";;
"HIP 14810 c";"1.28";;"147.73";"0.545";"0.164";;"0.010302";;;"4672.24";"329";"52.9";"G5";"0.99";"0.26";"03 11 14";"+21 05 50";"8.52";;;;;"1";"5485";;
"HIP 14810 d";"0.57";;"962";"1.89";"0.173";;"0.035728";;;"4317.198";"286";"52.9";"G5";"0.99";"0.26";"03 11 14";"+21 05 50";"8.52";;;;;"1";"5485";;
"HIP 5158 b";"1.44";;"345.63";"0.89";"0.54";;"0.019778";;;"54580.49";"70";"45";"K5V";"0.78";"0.1";"01 06 02";"-22 27 11";"10.21";;;;;;"4962";"6";
"HIP 5158 c";"15.04";;"9018";"7.7";"0.14";;"0.171111";;;;"142";"45";"K5V";"0.78";"0.1";"01 06 02";"-22 27 11";"10.21";;;;;;"4962";"6";
"HIP 57050 b";"0.298";;"41.397";"0.163506";"0.314";;"0.014864";;;;"238.1";"11";"M4V";"0.34";"0.32";"11 41 45";"+42 45 07";"11.9";;;;;"0.4";"3190";;
"HIP 57274 b";"0.036";;"8.1352";"0.07";"0.187";;"0.002701";;;"2454801.015";"81";"25.92";"K5V";"0.73";"0.09";"11 44 41";"+30 57 33";"8.96";;;;;"0.68";"4640";"7.87";
"HIP 57274 c";"0.41";;"32.03";"0.178";"0.05";;"0.006867";;;"2455793.035";"256.2";"25.92";"K5V";"0.73";"0.09";"11 44 41";"+30 57 33";"8.96";;;;;"0.68";"4640";"7.87";
"HIP 57274 d";"0.527";;"431.7";"1.01";"0.27";;"0.038966";;;;"187.2";"25.92";"K5V";"0.73";"0.09";"11 44 41";"+30 57 33";"8.96";;;;;"0.68";"4640";"7.87";
"HIP 70849 b";"9";;"10000";"10";"0.6";;"0.416667";;;;;"24";"K7V";"0.63";;"14 29 19";"-46 27 50";"10.36";;;;;;"4105";"3";
"HIP 75458 b";"8.82";;"510.702";"1.275";"0.713";"69.9";"0.040476";;;"2015.36";"92.5";"31.5";"K2 III";"1.4";"0.15";"15 24 55";"+58 57 57";"3.31";;;;;"12.8";"4445";;
"HIP 78530 b";"23.04";;;"710";;;"4.530951";;;;;"156.7";"B9V";"2.5";;"16 01 55";"-21 58 49";"7.18";;;;;;"10500";"0.011";
"HIP 79431 b";"2.1";;"111.7";"0.36";"0.29";;"0.025";;;"2454980.3";"287.4";"14.4";"M3V";"0.49";"0.4";"16 12 42";"-18 52 32";"11.34";;;;;;"3191";;
"HN Peg b";"16";"1.1";;"795";;;"43.206522";;;;;"18.4";"G0V";"1";;"21 44 31";"+14 46 19";"6";;;;;;;"0.2";
"HR 810 b";"2.26";;"320.1";"0.925";"0.161";;"0.053873";;;"2450307";"83";"17.17";"G0V pecul.";"1.11";"0.25";"02 42 31";"-50 48 12";"5.4";;;;;"1.85";"5997";"3.6";
"HR 8799 b";"7";"1.1";"164250";"68";"0.0";"28";"1.725888";;;;;"39.4";"A5V";"1.56";"-0.47";"23 07 29";"+21 08 03";"5.96";;;;;"1.5";;"0.06";
"HR 8799 c";"10";"1.3";"82145";"42.9";"0.0";"28";"1.088832";;;;;"39.4";"A5V";"1.56";"-0.47";"23 07 29";"+21 08 03";"5.96";;;;;"1.5";;"0.06";
"HR 8799 d";"10";"1.2";"41054";"27";"0.1";"28";"0.685279";;;;"80.2";"39.4";"A5V";"1.56";"-0.47";"23 07 29";"+21 08 03";"5.96";;;;;"1.5";;"0.06";
"HR 8799 e";"9";;"18000";"14.5";;;"0.36802";;;;;"39.4";"A5V";"1.56";"-0.47";"23 07 29";"+21 08 03";"5.96";;;;;"1.5";;"0.06";
"HU Aqr(AB) c";"5.9";;"5646";"6.18";"0.29";;;;;"2450050";"351";;"Catac. var.";"1";;"21 07 58";"-05 17 41";"15";;;;;;;;
"HW Vir (AB) b";"14.3";;"4640";"4.69";"0.4";;"0.025912";;;"2452410";"-18";"181";"sdB+M";"0.627";;"12 44 20";"-08 40 17";"10.9";;;;;;;;
"kappa CrB b";"1.8";;"1191";"2.7";"0.19";;"0.086817";;;"2453128";"34";"31.1";"K1IVa";"1.8";"0.14";"15 51 14";"+35 39 27";"4.79";;"2.04";"3.04";"2.42";"4.71";"4960";"2.5";
"KELT-2A b";"1.486";"1.306";"4.1137914";"0.05498";"0.185";;"0.000427";"2455974.60356";;"2455974.83";"160";"128.9";"F7V";"1.31";"-0.015";"06 10 39";"+30 57 26";"8.7";;;;;"1.842";"6148";;
"Kepler-10 b";"0.0143";"0.127";"0.837495";"0.01684";"0.0";"84.4";"9.7e-05";"2454964.57375";;;;"173";"G";"0.895";"-0.15";"19 02 43";"+50 14 29";"10.96";;;;;"1.056";"5627";"11.9";
"Kepler-10 c";"0.063";"0.199";"45.29485";"0.2407";"0.0";"89.65";"0.001391";"245971.6761";;;;"173";"G";"0.895";"-0.15";"19 02 43";"+50 14 29";"10.96";;;;;"1.056";"5627";"11.9";
"Kepler-11 b";"0.01353";"0.1762";"10.30375";"0.091";"0.0";"88.5";;"2454971.5052";;;;;"G";"0.95";;"19 48 28";"+41 54 33";"13.7";;;;;"1.1";"5680";"8";
"Kepler-11 c";"0.0425";"0.28175";"13.02502";"0.106";"0.0";"89";;"2454971.1748";;;;;"G";"0.95";;"19 48 28";"+41 54 33";"13.7";;;;;"1.1";"5680";"8";
"Kepler-11 d";"0.01919";"0.3068";"22.68719";"0.159";"0.0";"89.3";;"2454981.455";;;;;"G";"0.95";;"19 48 28";"+41 54 33";"13.7";;;;;"1.1";"5680";"8";
"Kepler-11 e";"0.02643";"0.4043";"31.9959";"0.194";"0.0";"88.8";;"2454987.159";;;;;"G";"0.95";;"19 48 28";"+41 54 33";"13.7";;;;;"1.1";"5680";"8";
"Kepler-11 f";"0.007237";"0.2335";"46.68876";"0.25";"0.0";"89.4";;"2454964.6487";;;;;"G";"0.95";;"19 48 28";"+41 54 33";"13.7";;;;;"1.1";"5680";"8";
"Kepler-11 g";"0.95";"0.3274";"118.37774";"0.462";"0.0";"89.8";;"2455120.2901";;;;;"G";"0.95";;"19 48 28";"+41 54 33";"13.7";;;;;"1.1";"5680";"8";
"Kepler-12 b";"0.431";"1.695";"4.4379637";"0.0556";"0.01";"88.76";;"2455004.00835";"2455010.666";;"182";;"G0";"1.166";"0.07";;;"13.4";;;;;"1.483";"5947";"4";
"Kepler-14 b";"8.4";"1.136";"6.790123";;"0.035";"90";;;;;;"980";"F";"1.512";"0.12";"19 10 50";"+47 19 59";"12.12";;;;;"2.048";"6395";"2.2";
"Kepler-15 b";"0.66";"0.96";"4.942782";"0.05714";;"87.44";;"2454969.328651";;;;;;"1.018";"0.36";;;"13.8";;;;;"0.992";"5595";;
"Kepler-16 (AB) b";"0.333";"0.7538";"228.776";"0.7048";"0.00685";"90.0322";;"2455212.12316";;;"318";;"K";"0.8499";"-0.3";"19 16 18";"+51 45 27";"12";;;;;"0.65";"4450";;
"Kepler-17 b";"2.45";"1.312";"1.4857108";"0.02591";"0.011";"87.2";"3.2e-05";"2455185.678035";;;;"800";"G2V";"1.16";"0.26";"19 53 35";"+47 48 54";"14";;;;;"1.05";"5781";"1.78";
"Kepler-18 b";"0.0217";"0.179";"3.504725";"0.0447";;"84.92";;"2454966.5068";;;;;;"0.972";"0.2";"19 52 19";"+44 44 47";"14";;;;;"1.108";"5383";"10";
"Kepler-18 c";"0.054";"0.49";"7.64159";"0.0752";;"87.68";;"2455167.0883";;;;;;"0.972";"0.2";"19 52 19";"+44 44 47";"14";;;;;"1.108";"5383";"10";
"Kepler-18 d";"0.052";"0.62";"14.85888";"0.1172";;"88.07";;"2455169.1776";;;;;;"0.972";"0.2";"19 52 19";"+44 44 47";"14";;;;;"1.108";"5383";"10";
"Kepler-19 b";"0.064";"0.198";"9.2869944";"0.118";;"89.94";;"2454959.70597";;;;;;"0.936";"-0.13";"19 21 41";"+37 51 06";"12";;;;;"0.85";"5541";"1.9";
"Kepler-20 b";"0.027";"0.17";"3.6961219";"0.04537";"0.32";"86.5";"0.000156";"2454967.50027";;;;"290";"G8";"0.912";"0.02";"19 10 48";"+42 20 19";"12.5";;;;;"0.944";"5466";"8.8";
"Kepler-20 c";"0.051";"0.27";"10.854092";"0.093";"0.4";"88.39";"0.000321";"2454971.60758";;;;"290";"G8";"0.912";"0.02";"19 10 48";"+42 20 19";"12.5";;;;;"0.944";"5466";"8.8";
"Kepler-20 d";"0.06";"0.25";"77.61185";"0.3453";"0.6";"89.57";"0.001191";"2454997.7271";;;;"290";"G8";"0.912";"0.02";"19 10 48";"+42 20 19";"12.5";;;;;"0.944";"5466";"8.8";
"Kepler-20 e";"0.0097";"0.078";"6.098493";"0.0507";;"87.5";"0.000175";"245968.9336";;;;"290";"G8";"0.912";"0.02";"19 10 48";"+42 20 19";"12.5";;;;;"0.944";"5466";"8.8";
"Kepler-20 f";"0.045";"0.09";"19.57706";"0.11";;"88.68";"0.000379";"2454968.219";;;;"290";"G8";"0.912";"0.02";"19 10 48";"+42 20 19";"12.5";;;;;"0.944";"5466";"8.8";
"Kepler-21 b";"0.033";"0.1459";"2.785755";"0.042507";"0.0";"82.58";"0.000394";"2455093.8369";;;;"108";"F6IV";"1.34";"-0.15";"19 09 27";"+38 42 50";"8.27";;;;;"1.86";"6131";"2.84";
"Kepler-22 b";"0.11";"0.21";"289.8623";"0.849";;"89.764";"0.004468";"2454966.6983";;;;"190";"G5";"0.97";"-0.29";"19 16 52";"+47 53 04";"12";;;;;"0.979";"5518";;
"Kepler-23 b";"0.8";"0.17";"7.1073";"0.075";;;;"2454971.3022";;;;;;"1.11";;"19 36 52";"+49 28 45";"14";;;;;"1.52";"5760";;
"Kepler-23 c";"2.7";"0.29";"10.7421";"0.099";;;;"2454966.2926";;;;;;"1.11";;"19 36 52";"+49 28 45";"14";;;;;"1.52";"5760";;
"Kepler-24 b";"1.6";"0.21";"8.1453";"0.08";;;;"2454973.5689";;;;;;"1.03";;"19 21 39";"+38 20 38";"15.5";;;;;"1.07";"5800";;
"Kepler-24 c";"1.6";"0.25";"12.3335";"0.106";;;;"2454970.586";;;;;;"1.03";;"19 21 39";"+38 20 38";"15.5";;;;;"1.07";"5800";;
"Kepler-25 b";"12.7";"0.23";"6.2385";"0.068";;;;"2454973.5126";;;;;;"1.22";"0.01";"19 06 33";"+39 29 16";"11";;;;;"1.36";"6190";;
"Kepler-25 c";"4.16";"0.4";"12.7204";"0.11";;;;"2454986.0871";;;;;;"1.22";"0.01";"19 06 33";"+39 29 16";"11";;;;;"1.36";"6190";;
"Kepler-26 b";"0.38";"0.32";"12.2829";"0.085";;;;"2454978.8321";;;;;;"0.65";"-0.21";"18 59 46";"+46 34 00";"16";;;;;"0.59";"4500";;
"Kepler-26 c";"0.375";"0.32";"17.2513";"0.107";;;;"2454982.8854";;;;;;"0.65";"-0.21";"18 59 46";"+46 34 00";"16";;;;;"0.59";"4500";;
"Kepler-27 b";"9.11";"0.36";"15.3348";"0.118";;;;"2454991.6726";;;;;;"0.65";"0.41";"19 28 57";"+41 05 09";;;;;;"0.59";"5400";;
"Kepler-27 c";"13.8";"0.44";"31.3309";"0.191";;;;"2454986.4274";;;;;;"0.65";"0.41";"19 28 57";"+41 05 09";;;;;;"0.59";"5400";;
"Kepler-28 b";"1.51";"0.32";"5.9123";"0.062";;;;"2454975.6227";;;;;;"0.75";"0.34";"19 28 33";"+42 25 46";"15.5";;;;;"0.7";"4590";;
