# name, mass, radius, period, axis, eccentricity, inclination, angular_distance, publication_status_letter, discovered, updated, omega, tperi, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
HD 20794 b,0.0085,,18.315,0.1207,0.0,,0.019917,R,2011,2011-09-02,,,detected by radial velocity,,HD 20794,03:19:56.0,-43:04:11,4.26,,,,,6.06,-0.38,0.85,0.9,G8V,14.0,5490.0
HD 20794 c,0.0076,,40.114,0.2036,0.0,,0.033597,R,2011,2011-09-02,,,detected by radial velocity,,HD 20794,03:19:56.0,-43:04:11,4.26,,,,,6.06,-0.38,0.85,0.9,G8V,14.0,5490.0
HD 20794 d,0.015,,90.309,0.3499,0.0,,0.057739,R,2011,2011-09-02,,,detected by radial velocity,,HD 20794,03:19:56.0,-43:04:11,4.26,,,,,6.06,-0.38,0.85,0.9,G8V,14.0,5490.0
HD 208487 b,0.413,,129.8,0.51,0.21,,0.011333,R,2004,2010-12-24,123.0,51008.0,detected by radial velocity,,HD 208487,21:57:19.0,-37:45:49,7.48,,,,,45.0,-0.06,1.3,1.15,G2V,3.88,5929.0
HD 20868 b,1.99,,380.85,0.947,0.75,,0.019366,R,2008,2008-10-28,356.2,54451.52,detected by radial velocity,,HD 20868,03:20:43.0,-33:43:48,9.92,,,,,48.9,0.04,0.78,0.79,K3/4IV,4.5,4795.0
HD 209458 b,0.714,1.38,3.52474859,0.04747,0.0004,86.59,0.00101,R,1999,2012-07-05,83.0,,detected by transit,"H2O, H, Na, TiO, VO",HD 209458,22:03:10.0,+18:53:04,7.65,,,,,47.0,0.02,1.148,1.146,G0 V,4.0,6075.0
HD 210277 b,1.23,,442.1,1.1,0.472,,0.051667,R,1998,2006-09-06,118.2,50988.2,detected by radial velocity,,HD 210277,22:09:29.0,-07:32:32,6.63,,,,,21.29,0.19,1.09,1.1,G0,6.93,5532.0
HD 210702 b,2.0,,341.1,1.17,0.152,,0.020893,R,2007,2007-04-20,301.0,2453118.0,detected by radial velocity,,HD 210702,22:11:51.0,+16:02:26,5.93,,,,,56.0,0.12,1.85,4.72,K1III,1.4,5010.0
HD 212301 b,0.45,,2.245715,0.036,0.0,,0.000683,S,2005,2010-12-23,,,detected by radial velocity,,HD 212301,22:27:30.0,-77:43:04,7.77,,,,,52.7,0.18,1.05,,F8 V,5.9,5998.0
HD 212771 b,2.3,,373.3,1.22,0.111,,0.009313,S,2010,2010-03-19,55.0,2454947.0,detected by radial velocity,,HD 212771,22:27:03.0,-17:15:49,7.6,,,,,131.0,-0.21,1.15,5.0,G8IV,6.0,5121.0
HD 213240 b,4.5,,951.0,2.03,0.45,,0.049816,R,2001,2010-12-30,214.0,51520.0,detected by radial velocity,,HD 213240,22:31:00.0,-49:25:59,6.8,,,,,40.75,0.16,1.22,1.5,G4 IV,5.11,5975.0
HD 215152 b,0.0087,,7.2825,0.0652,0.34,,0.003033,S,2011,2011-09-12,,,detected by radial velocity,,HD 215152,22:43:21.0,-06:24:03,8.13,,,,,21.5,,,,K0,,
HD 215152 c,0.0097,,10.866,0.0852,0.38,,0.003963,R,2011,2011-09-12,,,detected by radial velocity,,HD 215152,22:43:21.0,-06:24:03,8.13,,,,,21.5,,,,K0,,
HD 215456 b,0.101,,191.99,0.652,0.15,,0.017158,S,2011,2011-09-12,,,detected by radial velocity,,HD 215456,22:46:08.0,-48:58:04,6.63,,,,,38.0,,,,G0.5V,,
HD 215456 c,0.246,,2277.0,3.394,0.19,,0.089316,S,2011,2011-09-12,,,detected by radial velocity,,HD 215456,22:46:08.0,-48:58:04,6.63,,,,,38.0,,,,G0.5V,,
HD 215497 b,0.02,,3.93404,0.047,0.16,,0.001068,S,2009,2010-12-06,96.0,54858.95,detected by radial velocity,,HD 215497,22:46:37.0,-56:35:58,8.97,,,,,44.0,0.23,0.87,,K3V,7.0,5113.0
HD 215497 c,0.33,,567.94,1.282,0.49,,0.029136,S,2009,2010-12-06,45.0,55003.48,detected by radial velocity,,HD 215497,22:46:37.0,-56:35:58,8.97,,,,,44.0,0.23,0.87,,K3V,7.0,5113.0
HD 216435 b,1.26,,1311.0,2.56,0.07,,0.076877,R,2002,2009-10-06,100.0,870.0,detected by radial velocity,,HD 216435,22:53:37.0,-48:35:53,6.03,,,,,33.3,0.244,1.3,2.0,G0 V,5.27,5767.0
HD 216437 b,1.82,,1256.0,2.32,0.29,,0.087547,R,2002,2010-12-30,63.0,50693.0,detected by radial velocity,,HD 216437,22:54:39.0,-70:04:25,6.06,,,,,26.5,0.25,1.06,1.1,G4 IV-V,12.96,5636.0
HD 216770 b,0.65,,118.45,0.46,0.37,,0.012105,R,2003,2010-12-30,281.0,52672.0,detected by radial velocity,,HD 216770,22:55:53.0,-26:39:31,8.1,,,,,38.0,0.23,0.9,1.0,K1 V,3.6,5248.0
HD 21693 b,0.0322,,22.656,0.1484,0.26,,0.00458,S,2011,2011-09-12,,,detected by radial velocity,,HD 21693,03:27:12.0,-58:19:25,7.94,,,,,32.4,,,,G9IV,,
HD 21693 c,0.06472,,53.881,0.2644,0.24,,0.00816,R,2011,2011-09-12,,,detected by radial velocity,,HD 21693,03:27:12.0,-58:19:25,7.94,,,,,32.4,,,,G9IV,,
HD 217107 b,1.33,,7.12689,0.073,0.132,,0.003702,R,1998,2006-09-06,22.7,49998.5,detected by radial velocity,,HD 217107,22:58:15.0,-02:23:42,6.16,,,,,19.72,0.37,1.02,1.08,G8 IV,7.32,5666.0
HD 217107 c,2.49,,4210.0,5.27,0.517,,0.267241,R,1998,2010-12-17,198.6,11106.0,detected by radial velocity,,HD 217107,22:58:15.0,-02:23:42,6.16,,,,,19.72,0.37,1.02,1.08,G8 IV,7.32,5666.0
HD 217786 b,13.0,,1319.0,2.38,0.4,,0.043431,R,2010,2010-12-20,100.0,56053.0,detected by radial velocity,,HD 217786,23:03:08.0,+00:25:47,7.8,,,,,54.8,-0.135,1.02,1.27,F8V,7.6,5966.0
HD 218566 b,0.21,,225.7,0.6873,0.3,,0.022956,R,2010,2010-11-19,36.0,10360.0,detected by radial velocity,,HD 218566,23:09:11.0,-02:15:39,8.63,,,,,29.94,0.38,0.85,0.86,K3V,8.5,4820.0
HD 219828 b,0.066,,3.8335,0.052,0.0,,0.000641,R,2007,2010-12-21,0.0,,detected by radial velocity,,HD 219828,23:18:47.0,+18:38:45,8.04,,,,,81.1,0.19,1.24,1.7,G0IV,5.8,5891.0
HD 220689 b,1.19,,2191.0,,0.2,,,S,2011,2011-09-13,,,detected by radial velocity,,HD 220689,23:25:53.0,-20:36:58,7.77,,,,,44.6,,,,G3V,,
HD 220773 b,1.45,,3724.7,4.94,0.51,,0.100816,R,2012,2012-02-04,226.0,2453866.4,detected by radial velocity,,HD 220773,23:26:27.0,+08:38:38,7.09,,,,,49.0,0.09,1.16,,F9,4.4,5940.0
HD 221287 b,3.09,,456.1,1.25,0.08,,0.023629,R,2007,2010-12-28,98.0,53263.0,detected by radial velocity,,HD 221287,23:31:20.0,-58:12:35,7.82,,,,,52.9,0.03,1.25,,F7 V,1.3,6304.0
HD 222155 b,1.9,,3999.0,5.1,0.16,,0.10387,R,2012,2012-05-25,137.0,2456319.0,detected by radial velocity,,HD 222155,23:38:00.0,+48:59:47,7.1,,,,,49.1,-0.11,1.13,1.67,G2V,8.2,5765.0
