#primary_hip	secondary_hip	binary_period	eccentricity	inclination	big_omega	small_omega	periastron_epoch	semi_major	bary_distance	data_epoch	bary_ra	bary_dec	bary_rv	bary_pmra	bary_pmdec	primary_mass	secondary_mass
71683	71681	29133.0705	0.51947	1.3830512591578665	3.5791990569423318	4.040768830924752	2435314.751	17.493	1.3318948868555294	2458667.375	3.8372620814033906	-1.0617122668888785	-22.39	-3639.95	700.4	1.0788	0.9092
32349	2947050466531873024	18309.3981	0.59142	2.379512088998989	0.7923794804054256	2.6033505655672617	2449562.240375	7.4957	2.6392187912377936	2451545.0	1.7677943504874238	-0.2917512599018435	-8.47	-506.3282841530055	-1078.0683606557377	2.063	1.018
1872046609345556480	1872046574983497216	257449.3845	0.435	0.9078853703024103	3.0466467422813017	2.6885749929421454	2340510.461	24.57	3.496437479851779	2451545.0	5.52834909857499	0.6764890527486401	-65.034	4135.09	3202.778	0.7	0.63
3683687763520080384	3683687763520080256	61701.6825	0.8825	2.5973989928179613	0.6167993576547961	4.450938658435939	2453531.2295	3.662	11.684973124561814	2451545.0	3.3233676339263565	-0.025296855231097058	-19.8	-569.747	10.7155	1.4	1.4
756853643638639104	756853643637996160	21874.932075	0.40432	2.1325654531343115	1.7617178936705562	2.2159398315020806	2427865.8425000003	2.50442	8.734639045408768	2451545.0	2.95910847405252	0.5502767394794497	-17.5	-393.113693989071	-599.1503387978142	0.97	0.86
425040000962559616	425040000962497792	175053.3675	0.497	0.6213372137099813	4.852015320544236	4.708898321880701	2411341.9325	12.04	5.923040746966515	2451545.0	0.21439120829534697	1.009042162712892	8.5089	1103.3904999999997	-520.583625	0.95	0.57
2098237660364079232	2098237656065233792	1023722.7000000001	0.953	1.7837264955382048	2.611012560983517	4.516912104161325	2411341.9325	14.237	48.88206712485458	2470351.7225	4.905854488336886	0.69238395728438	32.25961538461539	19.984807692307694	23.025403846153846	2.03	1.61
2098202128093842432	2098202128100428288	264550.575	0.353	2.2008601867648494	0.4625122517784973	1.2880529879718152	2533324.475	2.92	47.68717215069147	2470351.7225	4.906039819990392	0.691377462366683	-26.117840375586855	5.7759940089347666	57.50554153914594	2.11	2.15
5855802671046171648	5855802671045627648	175053.3675	0.497	0.6213372137099813	4.852015320544236	4.708898321880701	2411341.9325	12.04	96.80542110358179	2470351.7225	3.343524256680641	-1.1887100419032093	42.0	-37.47949516527006	-16.40962870405608	2.11	2.15
5059348952161258624	5059349158319689344	97964.43299999999	0.73704	1.4221640876950594	2.048964181963783	0.7508930040855205	2432336.977325	3.96341	14.040999719180006	2470351.7225	0.8381099323574862	-0.5058765840923651	-19.023605511848338	353.699852158919	625.3625094672343	1.33	0.78
5426587107145955712	5426587107149861120	12462.33	0.439	1.0192722831646885	5.030038904247657	0.8325220532012952	2432336.977325	0.81	18.363584277833684	2453031.5675	2.4901280779738078	-0.7062738739500954	8.8	-190.96888235294116	69.36568627450981	1.56	1.5
4468557611984384512	4468557611977674496	32287.479075000003	0.49803	2.109963439320985	2.1239260733369396	3.375047894336555	2413493.8394	4.55038	5.1095529018581605	2453031.5675	4.736214323428048	0.04354204675837876	-6.87	261.9856072570008	-1090.3690455852434	0.9	0.7
1312665361415345920	1312665361414730624	12582.862500000001	0.46	2.2863813201125716	0.8726646259971648	1.9373154697137058	2439747.425	1.33	10.715816545220747	2451545.0	4.368894184275767	0.551604047400101	-67.8	-461.52	342.28	1.45	0.98
84012	4136366183978856960	31988.595	0.95	1.6615534478986018	0.6789330790257941	4.796164784480418	2460559.37	1.396	27.0929287455974	2451545.0	4.4958726611125615	-0.27445139543671865	-2.4	40.13	99.17	2.966	3.478
