# Proper motion data
# HIP	pmRA(mas/yr)	pmDE(mas/yr)
284	22.70	24.63
285	56.73	-2.23
286	16.35	7.72
287	20.49	-10.90
288	98.86	-46.86
289	5.76	-4.81
290	92.50	-56.70
291	10.36	-0.31
292	10.11	-0.95
293	24.81	-9.22
294	-23.56	-12.48
295	15.10	-13.10
296	280.22	-141.74
297	-24.87	-9.17
298	27.67	-9.33
299	-7.28	-0.64
300	76.52	10.10
301	25.17	-9.16
302	9.41	-8.20
303	33.80	1.70
304	-1.20	-8.43
305	100.40	-20.30
306	154.10	-59.60
307	89.84	7.53
308	80.07	-21.16
309	8.56	-7.50
310	106.17	-126.59
28227	-4.38	1.13
311	15.14	17.79
312	-1.29	-1.84
313	19.40	3.20
314	-31.03	-35.97
315	7.15	-32.45
316	17.50	-22.60
317	55.20	-18.08
318	-9.20	-2.82
319	-0.80	-3.00
320	37.44	-3.37
321	110.24	-47.16
322	-15.98	-7.75
323	-8.50	-11.58
324	-53.66	-17.10
325	110.75	-91.66
326	-4.42	-4.52
327	24.50	-1.79
328	20.84	1.78
329	149.90	75.20
330	-1.31	0.11
331	9.23	-15.61
332	68.11	-25.05
333	-15.52	-17.85
334	-5.31	-1.89
335	21.37	-34.91
336	11.61	10.64
337	-134.91	-189.71
338	-1.05	-3.25
339	22.03	-3.66
340	7.38	-53.76
341	-1.60	-4.84
342	28.55	-52.84
343	51.80	-58.90
344	-1.74	-0.18
345	28.61	4.05
346	61.24	19.23
347	7.86	-4.11
348	318.59	98.12
349	19.61	2.48
350	-38.44	74.05
351	293.08	35.09
352	437.82	-38.28
353	233.40	27.90
354	1.57	-5.08
355	-6.80	-12.03
356	-33.80	-20.30
382	-18.71	-9.03
357	10.47	-41.35
358	14.63	17.40
359	161.60	-16.50
360	-2.58	-0.44
361	10.90	-2.68
362	-14.00	-11.70
363	-4.63	-2.66
364	-3.55	-11.12
365	-12.40	-10.70
366	12.00	-0.17
367	1.12	0.75
368	20.20	0.65
369	-5.07	-6.54
370	8.55	14.57
371	14.63	7.12
372	84.42	-16.99
373	2.08	-18.66
374	-17.20	-27.20
375	123.40	-59.91
376	-67.60	-56.06
377	29.78	-12.85
378	6.97	-42.06
379	95.89	23.25
380	71.70	-19.30
381	9.69	-5.91
383	6.90	4.69
384	-21.26	-19.89
385	29.20	-60.00
386	-1.03	-0.76
387	-3.36	-4.97
388	-8.14	-12.16
389	20.20	3.01
390	-2.87	-0.45
391	-93.10	-31.80
392	66.20	-32.90
393	24.16	6.38
394	769.20	95.60
395	18.44	3.62
396	1.85	-20.51
397	12.91	-2.95
398	13.40	-5.50
399	109.40	-13.10
400	381.74	-7.55
401	-4.36	-3.97
402	-8.12	4.87
403	-16.56	-93.69
404	22.00	-73.10
405	0.31	-2.90
406	23.96	3.71
407	53.19	-97.38
408	22.31	-2.74
409	1.40	-30.90
410	82.62	-7.04
411	0.94	-0.16
412	47.50	1.10
413	210.10	63.34
414	-1.47	-7.43
415	10.71	-28.24
416	109.73	-49.74
417	45.66	-53.63
418	14.38	2.46
419	-65.70	-23.40
420	-110.90	-130.10
422	7.02	-6.80
423	-37.30	-33.00
424	-28.90	-19.20
425	62.71	20.52
426	-37.50	-33.00
427	45.30	1.28
428	869.71	-150.99
429	40.66	-43.33
430	-63.36	-66.13
431	30.23	-4.55
432	3.20	-37.00
433	-11.86	3.02
434	129.33	-40.05
435	46.57	29.17
436	-117.63	-559.70
437	-5.79	-10.10
438	54.70	16.00
439	5635.74	-2338.18
440	36.28	9.13
441	74.56	32.55
442	-20.20	-14.56
443	-13.00	88.90
444	44.34	-7.39
445	33.86	-11.68
446	24.46	66.14
447	260.29	-60.17
448	-21.78	-6.43
449	27.40	21.78
450	-1.77	-11.52
451	33.00	-30.60
452	39.24	-0.41
453	-5.85	-32.43
454	14.14	-41.36
455	-11.44	-2.69
456	47.95	2.85
457	-14.00	3.00
458	20.39	-37.08
459	82.53	-77.94
460	168.72	-74.97
461	-17.50	26.40
462	88.40	-72.20
463	-4.02	-4.00
464	23.11	0.71
465	10.71	-4.53
466	16.52	-0.77
467	75.90	-17.20
468	4.36	8.86
469	11.27	-14.47
470	12.36	-6.10
471	-2.62	-7.42
472	8.41	-1.48
473	887.48	-152.02
474	-0.66	-3.92
475	65.38	-162.72
476	43.39	-5.98
500	16.91	-11.01
477	21.60	1.30
478	36.81	-2.39
479	-8.30	-0.80
480	-13.46	7.91
481	-13.79	-75.11
482	60.00	-18.00
483	20.32	1.03
484	-23.51	-178.76
485	5.01	-1.25
486	15.20	11.70
487	100.60	42.80
488	-60.00	-33.70
489	-82.97	-124.23
490	97.65	-76.21
491	3.31	-34.19
492	-2.00	-18.90
493	-150.79	-148.51
494	-37.88	12.96
495	-145.70	-145.90
496	34.77	-17.47
497	-10.00	-0.80
498	-2.04	-0.01
499	-21.04	-22.26
501	8.11	-27.97
502	-5.27	-4.65
503	5.19	-0.72
504	85.24	-17.18
505	-4.58	-1.20
506	1.54	-0.90
507	19.81	1.47
508	-3.70	-1.40
509	-60.93	3.25
510	20.40	-13.00
511	14.00	-8.51
512	16.90	2.10
513	-12.50	17.00
514	-13.10	-6.59
515	-3.70	-48.20
516	13.66	1.22
517	60.41	-0.65
518	270.60	30.10
519	27.70	23.10
520	18.16	-1.77
521	-20.43	-32.92
522	574.70	-37.40
523	195.75	-553.34
524	66.27	5.68
525	82.28	10.26
526	43.14	0.26
527	15.98	-8.67
528	-16.81	-28.75
529	15.79	1.68
530	78.52	0.21
531	10.46	0.10
532	32.24	5.02
533	-0.66	-5.32
534	9.51	-1.77
535	-1.92	-17.74
536	0.41	-11.29
537	18.70	4.80
538	194.90	40.20
539	-7.22	-21.51
540	-7.48	-13.82
541	4.18	6.37
542	3.90	-9.90
543	51.30	-13.90
544	380.84	-178.61
545	37.86	-8.85
546	14.39	-37.16
572	0.78	-25.26
547	-26.26	-69.53
548	-1.03	-3.18
549	4.65	-1.26
550	-4.99	-2.18
551	-33.01	-55.52
552	5.69	4.07
553	-249.00	-417.60
554	-75.22	-82.32
555	13.06	23.64
556	59.59	-88.05
557	41.35	1.94
558	7.05	3.23
559	-3.75	-4.67
560	97.66	-47.14
561	0.85	-0.31
562	4.92	7.74
563	48.97	-10.54
564	14.44	22.00
565	53.87	6.81
566	-8.26	-3.87
567	-10.00	8.99
568	15.40	-12.79
