6794	V0529 And	GDOR+DSCT	6.48	0	6.51	Hp		0.40331		A7Vm
677	α And	ACV:	2.06	1	0.04	V		0.966222		B8IVpHgMn
3693	ζ And	ELL/RS	3.92	0	4.14	V	32761.016	17.769586		K1IIe
116584	λ And	RS	3.65	0	4.05	V	43832.8	53.95		G8III-IV
113726	ο And	GCAS	3.55	0	3.78	V				B6IIIpe+A2p
49784	R Ant	CST	7.65	0		V				A0V
46810	S Ant	EW	6.27	0	6.83	V	52627.7968	0.6483489		F3V
47076	RR Ant	LB	8.0	0	8.8	V				M6III
49950	AB Ant	LB	6.6	0	7.1	V				C6,3(N0)
50456	AG Ant	*	5.29	0	5.83	V		429.		B9.5Ib-II
46521	AL Ant	LB	7.40	0	7.78	V				M2/M3III
49375	AP Ant	ACV	6.93	0	6.99	Hp		18.201		Ap(Eu-Cr)
51175	AV Ant	SRB	7.5	0	8.3	V		84.		M4III
52567	AZ Ant	DSCTC	7.93	0	7.96	Hp		0.1053030		A5/7V
48776	BF Ant	DSCTC	6.32	1	0.01	V				A4V
73223	R Aps	CST:	5.35	0		V				K4III-M0III
85095	DW Aps	EA/SD:	7.9	0	9.1	p	39209.502	2.312950	14	B6III
76011	NN Aps	ACV	6.86	0	6.92	V				
85760	NO Aps	SR	5.71	0	5.95	V				
69850	NQ Aps	SRB	7.22	0	7.35	Hp				
69956	NR Aps	LB:	7.86	0	7.97	Hp				
70547	NS Aps	LB	7.84	0	8.23	Hp				
74673	NZ Aps	LB	7.94	0	8.08	Hp				
74999	OO Aps	LB	6.58	0	6.68	Hp				
81530	OT Aps	EA	7.98	0	8.34	Hp				
83972	OW Aps	LPB	7.14	0	7.19	Hp				
75994	PS Aps	EB	7.86	0	7.97	V	48574.241	1.086152		F3V
70248	ε Aps	GCAS:	4.99	0	5.04	Hp				
68815	tet Aps	SRB	6.4	0	8.6	p		119.		M7III
117054	R Aqr	M+ZAND	5.2	0	12.4	V	54045.	390.	41	M5e-M8.5e+pec
102829	T Aqr	M	7.0	0	14.2	V	53229.	201.1	47	M2e-M5.5e
102546	V Aqr	SRB	7.6	0	10.1	V		241.		M6e
110146	X Aqr	M	7.2	0	15.0	V	52951.	311.4	42	S6,3e:(M4e-M6.5e
117703	Z Aqr	SRA	7.4	0	10.2	V	52945.	136.6	50	M1e-M7III
103545	DV Aqr	EB	5.89	0	6.25	V	52500.21	1.575529		A9IV
111452	EE Aqr	EB	7.91	0	8.55	V	52500.055	0.50899582		F0V
103261	EM Aqr	DSCTC	6.55	1	0.03	V		0.1024746		A9Vn
102624	EN Aqr	LB	4.41	1	0.06	V				M3III
107516	EP Aqr	SRB	6.37	0	6.82	V		55.		M8III
114017	ER Aqr	LB	7.14	0	7.81	V				M3III
117629	ET Aqr	ACV	5.12	0	5.21	V		3.735239		B9pSiCrSr
104634	EW Aqr	DSCTC	6.41	0	6.48	V		0.0968946		A8III
110616	FI Aqr	ACV	7.49	0	7.52	V		4.689		B9pSi
112615	FM Aqr	DSCTC	6.16	0	6.19	V		0.087		A9III-IV
103899	FN Aqr	DSCTC	7.34	1	0.01	V				F5III
113031	HI Aqr	ACV:	5.80	1	0.01	V		3.40		B9pHgMn
101926	IM Aqr	LB	7.81	0	7.97	Hp				M1
102777	IP Aqr	LB	7.70	0	7.86	Hp				M0
102770	IQ Aqr	SRB	6.02	0	6.58	Hp		384.6		M3
103026	IR Aqr	LB	7.73	0	7.92	Hp				M4III:
103447	IS Aqr	LB	7.77	0	7.89	Hp				M0
103769	IT Aqr	SR	7.10	0	7.25	Hp				M0
103851	IU Aqr	LB	6.46	0	6.64	Hp				M3
104279	IV Aqr	LC	6.50	0	6.65	Hp				M4:II:
105019	IW Aqr	SRB	6.47	0	6.54	Hp		163.		M4III:
105389	IX Aqr	LB	7.50	0	7.61	Hp				K2
105575	IY Aqr	LB	7.67	0	7.86	Hp				M0
106544	IZ Aqr	LB	6.23	0	6.47	Hp				M3
108562	KK Aqr	LB	7.90	0	8.23	Hp				M2III
109201	KN Aqr	LB	6.85	0	7.02	Hp				M3
109613	KR Aqr	LB	7.25	0	7.36	Hp				M0
110388	KT Aqr	LB:	7.83	0	7.94	Hp				M0III
110528	KU Aqr	LB	7.7	0	8.6	V				M3III
110707	KV Aqr	E:	6.84	0	7.03	Hp				A1V+G8/K1III
110881	KW Aqr	LB	7.92	0	8.31	Hp				M3III
111647	LO Aqr	IB:	7.44	0	7.59	Hp				F0
112078	LP Aqr	LB	6.30	0	6.64	Hp				M0
112420	LQ Aqr	LB	6.71	0	6.78	Hp				M0
115657	LT Aqr	LB	7.96	0	8.13	Hp				M3
115844	LU Aqr	SRD	7.39	0	7.54	Hp		14.9		K3III
