# Locations file.  This file is used to create the location list as used
# in the location selection dialog.
# Format:
# + One record per line
# + Fields in a record are delimited with the tab character
# + Line beginning with a # character are comments
# + Field are as follows:
#   - LocationName
#   - Provice/State
#   - Region (Code/Full English Name)
#   - Type code (C/B=Capital, R=Regional capital,N=Normal city,
#                O=Observatory, L=lander, I=spacecraft impact
#                A=spacecraft crash
#   - Population (thousand)
#   - Latitude (deg[N/S])
#   - Longitude (deg[E/W])
#   - Altitude (meters)
#   - Light Pollution (1-9 Bortle scale, empty=auto)
#   - TimeZone (empty=auto)
#   - Planet (empty=Earth)
#   - LandscapeKey (empty=auto)
Bamyan	Bamyan	15	R	61.863	34.82156N	67.82734E	2550	6	Asia/Kabul
Balkh	Balkh	15	N	114.883	36.75635N	66.8972E	348	7	Asia/Kabul
Baghlan	Baghlan	15	N	108.449	36.13068N	68.70829E	531	7	Asia/Kabul
Art Khwajah	Takhar	15	N	18.623	37.08571N	69.47958E	481	5	Asia/Kabul
Asmar	Kunar	15	N	15.708	35.03333N	71.35809E	913	5	Asia/Kabul
Asadabad	Kunar	15	R	48.4	34.87311N	71.14697E	837	5	Asia/Kabul
Andkhoy	Faryab	15	N	29.208	36.95293N	65.12376E	306	5	Asia/Kabul
Bazarak	Panjshir	15	R	65	35.31292N	69.51519E	1965	6	Asia/Kabul
Markaz-e Woluswali-ye Achin	Nangarhar	15	N	15.098	34.12583N	70.70778E	972	5	Asia/Kabul
Saint John's	Saint John	06	C	24.226	17.12096N	61.84329W	12	5	America/Antigua
The Valley	The Valley	06	C	2.035	18.21704N	63.05783W	19		America/Anguilla
Sarande	Vlore County	19	N	15.147	39.87534N	20.00477E	23	5	Europe/Tirane
Pogradec	Korce County	19	N	61.53	40.9025N	20.6525E	702	6	Europe/Tirane
Kukes	Kukes County	19	R	17.832	42.07694N	20.42194E	351	5	Europe/Tirane
Korce	Korce County	19	R	58.259	40.61861N	20.78083E	869	6	Europe/Tirane
Gjirokaster	Gjirokaster County	19	R	23.437	40.07583N	20.13889E	286	5	Europe/Tirane
Elbasan	Elbasan County	19	R	100.903	41.1125N	20.08222E	128	7	Europe/Tirane
Burrel	Diber County	19	N	15.405	41.61028N	20.00889E	315	5	Europe/Tirane
Vlore	Vlore County	19	R	89.546	40.4686N	19.48318E	1	6	Europe/Tirane
Tirana	Tirana	19	C	418.495	41.3275N	19.81889E	113	7	Europe/Tirane
Shkoder	Shkoder County	19	R	88.245	42.06828N	19.51258E	12	6	Europe/Tirane
Patos Fshat	Fier County	19	N	22.679	40.64278N	19.65083E	157	5	Europe/Tirane
Patos	Fier County	19	N	16	40.68333N	19.61944E	61	5	Europe/Tirane
Lushnje	Fier County	19	N	41.469	40.94194N	19.705E	22	5	Europe/Tirane
Lezhe	Lezhe County	19	R	18.695	41.78361N	19.64361E	7	5	Europe/Tirane
Lac	Lezhe County	19	N	24.825	41.63556N	19.71306E	33	5	Europe/Tirane
Kruje	Durres County	19	N	21.286	41.50917N	19.79278E	509	5	Europe/Tirane
Kavaje	Tirana	19	N	29.354	41.18556N	19.55694E	19	5	Europe/Tirane
Fier-Cifci	Fier County	19	N	60.995	40.71667N	19.56667E	17	6	Europe/Tirane
Fier	Fier County	19	R	56.297	40.72389N	19.55611E	20	6	Europe/Tirane
Durres	Durres County	19	R	122.034	41.32355N	19.45469E	0	7	Europe/Tirane
Berat	Berat County	19	R	46.866	40.70583N	19.95222E	66	5	Europe/Tirane
Kapan	Syunik	16	R	33.16	39.20755N	46.40576E	774	5	Asia/Yerevan
Goris	Syunik	16	N	20.379	39.51111N	46.34168E	1351	5	Asia/Yerevan
Hats'avan	Syunik	16	N	15.208	39.46405N	45.97047E	1761	5	Asia/Yerevan
Artashat	Ararat	16	R	20.562	39.96144N	44.54447E	830	5	Asia/Yerevan
Ararat	Ararat	16	N	28.832	39.83069N	44.70569E	823	5	Asia/Yerevan
Yerevan	Yerevan	16	C	1093.485	40.18111N	44.51361E	994	9	Asia/Yerevan
Vagharshapat	Armavir	16	N	46.2	40.16557N	44.29462E	877	5	Asia/Yerevan
Stepanavan	Lori	16	N	23.782	41.00995N	44.38531E	1405	5	Asia/Yerevan
Spitak	Lori	16	N	15.059	40.83221N	44.26731E	1548	5	Asia/Yerevan
Sevan	Gegharkunik	16	N	17.083	40.5473N	44.94171E	1934	5	Asia/Yerevan
Masis	Ararat	16	N	18.911	40.06572N	44.41913E	835	5	Asia/Yerevan
Vanadzor	Lori	16	R	101.098	40.80456N	44.4939E	1344	7	Asia/Yerevan
Gavar	Gegharkunik	16	R	21.68	40.35398N	45.12386E	1953	5	Asia/Yerevan
Hrazdan	Kotayk	16	R	40.795	40.49748N	44.7662E	1762	5	Asia/Yerevan
