028.6675;-27.1167;PHL 3953         ;01 54 40.2;-27 07 00; 0.151;15.11;     ;-24.0
028.7621; -5.1428;RXS J01550-0508  ;01 55 02.9;-05 08 34; 0.129;15.10;     ;-23.7
028.8050;-45.1033;HE 0153-4520     ;01 55 13.2;-45 06 12; 0.451;15.20;     ;-26.5
029.2708;+41.3417;87GB 01540+4105  ;01 57 05.0;+41 20 30; 0.081;13.80;     ;-23.9
029.9592; +0.3947;MARK 1014        ;01 59 50.2;+00 23 41; 0.163;15.87; 0.21;-23.2
030.1554;-16.8189;RXS J02006-1649  ;02 00 37.3;-16 49 08; 0.201;15.80;     ;-24.1
030.7742; -3.8403;KISSR 2166       ;02 03 05.8;-03 50 25; 0.352;15.67; 0.90;-24.5
031.0217;+40.0842;RX J02040+4005   ;02 04 05.2;+40 05 03; 0.072;12.13;     ;-24.7
031.4604;-42.1125;HE 0203-4221     ;02 05 50.5;-42 06 45; 0.320;16.00;     ;-25.0
031.9575; +2.7153;MARK  586        ;02 07 49.8;+02 42 55; 0.155;15.41; 0.26;-23.5
033.1333;-27.9178;HE 0210-2809     ;02 12 32.0;-27 55 04; 0.608;15.70;     ;-26.7
033.6679;+11.5336;H 0211+1118      ;02 14 40.3;+11 32 01; 2.000;16.00;     ;-29.0
033.9100;-15.1700;2MASS J02156-1510;02 15 38.4;-15 10 12; 0.211;15.73;     ;-24.3
034.2408; -3.4164;SWIRE J02169-0324;02 16 57.8;-03 24 59; 0.137;15.48;     ;-23.4
035.2242; +9.7597;H 0218+0931      ;02 20 53.8;+09 45 35; 2.000;16.00;     ;-29.0
035.5033;-16.2547;PKS 0219-164     ;02 22 00.8;-16 15 17; 0.698;15.00; 0.38;-27.2
037.0633;-40.9544;RXS J02282-4057  ;02 28 15.2;-40 57 16; 0.494;14.30;     ;-27.6
037.1633;-10.1861;Q 0226-1024      ;02 28 39.2;-10 11 10; 2.276;15.16;     ;-29.5
038.6429;-52.0653;RXS J02345-5203  ;02 34 34.3;-52 03 55; 0.137;14.79;     ;-24.1
039.6621;+16.6167;AO 0235+164      ;02 38 38.9;+16 37 00; 0.940;15.50; 0.96;-27.0
039.8454; -0.0222;RXS J02393-0001  ;02 39 22.9;-00 01 20; 0.261;15.48; 0.30;-24.6
040.1358;-18.8642;HE 0238-1904     ;02 40 32.6;-18 51 51; 0.631;15.00;     ;-27.5
041.2400;+62.4683;4U 0241+61       ;02 44 57.6;+62 28 06; 0.044;12.19;-0.04;-24.2
041.3537;-11.1211;NVSS J02454-1107 ;02 45 24.9;-11 07 16; 0.099;15.40;     ;-22.2
042.0258;-40.8097;HE 0246-4101     ;02 48 06.2;-40 48 35; 0.883;14.70;     ;-28.7
042.4942;-55.0556;Q J02499-5503    ;02 49 58.6;-55 03 20; 0.230;15.40;     ;-24.7
043.5292;-41.6253;RXS J02541-4137  ;02 54 07.0;-41 37 31; 0.146;14.76;     ;-24.3
047.0979;-32.8358;HE 0306-3301     ;03 08 23.5;-32 50 09; 0.247;15.80;     ;-24.6
048.1287;-51.3447;ESO 199-IG23     ;03 12 30.9;-51 20 41; 0.078;15.10;     ;-22.6
049.5271;-34.4436;CT 638           ;03 18 06.5;-34 26 37; 0.266;15.10; 0.10;-25.3
049.7475;-44.2739;XMM J03189-4416  ;03 18 59.4;-44 16 26; 0.140;15.90;     ;-23.1
049.8017;+42.6453;G 03158+4227 G2  ;03 19 12.4;+42 38 43; 0.134;15.79;     ;-23.1
050.0883;-19.4419;MS 03180-1937    ;03 20 21.2;-19 26 31; 0.104;14.86; 1.04;-22.4
050.5587;-66.7850;MS 03215-6657    ;03 22 14.1;-66 47 06; 0.094;15.80;     ;-22.3
052.8117;-29.3528;HE 0329-2931     ;03 31 14.8;-29 21 10; 0.548;14.90;     ;-27.2
053.2792;-41.0339;HE 0331-4112     ;03 33 07.0;-41 02 02; 1.117;16.00;     ;-27.9
053.3279;+37.3031;IGR J03334+3718  ;03 33 18.7;+37 18 11; 0.055;13.50;     ;-23.3
053.5075;-61.5383;RXS J03340-6132  ;03 34 01.8;-61 32 18; 0.176;16.00;     ;-23.6
053.6992;-56.2536;IRAS 03335-5625  ;03 34 47.8;-56 15 13; 0.078;14.90;     ;-22.8
054.2379;-35.5067;NGC 1387         ;03 36 57.1;-35 30 24; 0.056;11.93; 1.03;-24.0
