246.0089	-51.5154	104	 20	 20	2 	
242.4993	-49.1306	105	 45	 35	3 	BBW30000; G51
245.2001	-50.9189	106	 35	 20	2 	
248.3783	-48.1547	107	  8	  4	3 	NGC6164,5; G52
249.6872	-48.7655	108	210	120	1 	(NGC6193); BBW30402; G53
251.6608	-45.7397	109	  2	  2	3 	
253.4073	-45.0816	110	  7	  3	3 	G54
253.7829	-45.0799	111	  5	  3	3 	G54
247.6080	-40.3080	112	  2	  2	3 	
252.1291	-42.0875	113	360	300	2 	(NGC6231); BBW31100; G55
260.4152	-45.0486	114	330	330	1 	
248.2361	-37.2051	115	  4	  2	2 	
257.4315	-41.6127	117	  2	  2	3 	
258.3678	-39.8582	118	  2	  2	2 	
256.1769	-38.0685	119	180	145	2 	(NGC6281); BBW31500; G57,a,b; E1
258.1066	-38.4594	120	  6	  6	3 	G58; E2
259.7395	-39.3017	121	  3	  2	2 	E5
260.1370	-38.9498	122	  2	  2	2 	
260.3063	-38.1989	123	 75	 75	1 	NGC6337; G59; E6
258.4462	-37.0578	124	  3	  2	2 	NGC6302; E3; G60
259.5982	-37.2023	125	  8	  8	1 	
259.2166	-36.3541	126	 16	  4	2 	BBW31800a
260.0885	-35.8499	127	 50	 25	3 	NGC6334; BBW31800b; E7; HS119
260.9423	-36.2959	128	 10	 10	1 	
249.2791	-28.1003	129	180	180	2 	
259.3760	-34.1533	130	 30	 30	2 	E4
261.3285	-34.3440	131	170	 55	3 	(NGC6357); BBW32100; HS120; G66
263.3183	-32.7344	132	110	 80	2 	(NGC6383); BBW32301; HS121; G67
262.3105	-31.6392	133	 45	 40	2 	BBW32300; E10; G68
267.3344	-31.2482	134	 60	 50	2 	BBW32603; E17; G69
266.4025	-30.2194	135	  2	  2	2 	
269.4125	-31.6715	136	  1	  1	2 	
266.4467	-29.3192	137	 18	 18	3 	BBW32801; E13
266.2186	-28.8370	138	  8	  4	2 	E12
266.7450	-29.0511	139	  2	  2	2 	E14
266.8451	-29.0506	140	 12	 12	1 	BBW32701; E16
266.7934	-28.7842	141	  6	  4	1 	E15
267.4189	-28.8478	142	  2	  2	3 	E18
266.3947	-24.9194	143	  7	  6	2 	Near NGC6432
268.4455	-25.0094	144	 85	 65	1 	BBW33201; HS123; E19; G71
270.0104	-23.2518	145	 90	 35	1 	HS 124; E20; G74a,b
271.5147	-23.9945	146	120	 90	3 	NGC6523(M8), 6559; BBW33402
270.6334	-22.8988	147	 16	 16	3 	NGC6514(M20); HS125; E22; G76
270.3759	-21.5833	148	  2	  2	3 	
271.7518	-21.7433	149	120	 30	2 	HS129; E24; G77a
271.2715	-20.7956	150	  2	  2	3 	
