119	 9.40	  2.8	274.2743	-19.8647
120	 8.80	  0.6	274.3199	-16.9286
121	 9.43	  0.3	275.0664	-17.0042
122	 9.30	  0.6	276.1396	-13.6535
123	 9.10	  1.7	277.6036	+01.2232
124	 5.50	 18.0	277.8571	-10.7958
125	 8.00	  0.6	291.5036	+15.5568
126	 8.30	  4.0	291.5472	+22.7573
127	 3.82	 28.0	296.8469	+18.5343
128	 5.63	  4.0	301.1507	+32.2186
129	 3.24	 48.0	302.8262	-00.8215
130	 9.50	  0.3	304.4250	+39.3500
131	 9.10	  2.8	306.0655	+42.3004
132	 8.70	  2.8	306.1943	+42.3848
133	 6.19	  5.7	307.7468	+36.9358
134	 4.95	 11.0	307.5148	+48.9516
135	 8.60	  0.9	309.1900	+32.4546
136	 7.80	  2.0	309.5716	+42.0737
137	 5.69	  6.8	313.9575	+47.4177
138	 8.28	  3.7	314.3191	+48.2958
139	 6.80	  8.5	315.4038	+68.1633
140	 6.41	 10.0	319.3283	+58.6115
141	 9.40	  1.7	319.1097	+68.2602
142	 8.80	  0.6	324.1710	+57.5023
143	 8.30	  4.8	324.2377	+68.1854
144	 6.00	  1.7	325.1804	+54.8721
145	 7.40	  4.3	325.9049	+48.8838
146	 9.40	  4.5	325.7000	+66.1167
147	 9.50	  0.9	328.1421	+47.2288
148	 8.70	  1.7	331.8208	+56.2340
149	 9.10	  2.6	332.2854	+72.8847
150	 8.40	  5.7	332.4172	+73.3909
151	 4.49	  5.4	333.4697	+39.7149
152	 8.80	  6.8	333.3522	+70.2514
153	 9.40	  1.4	335.8011	+62.7000
154	 8.90	  5.1	337.8066	+65.4662
155	 9.29	  3.1	343.3150	+62.1458
156	 3.62	 94.0	345.4803	+42.3260
157	 7.80	  2.3	345.5656	+72.7304
158	 9.00	  1.7	354.4650	+48.4966
