296.5067	+28.2898	 145	  45	5
298.7649	+27.2829	 146	   1	1
294.2465	+29.6132	 147	 120	3
291.9830	+31.4365	 148	  50	4
298.7538	+29.2995	 149	   1	1
292.2255	+32.6876	 150	  20	5
298.9995	+30.1339	 151	  10	6
324.3542	+12.7254	 152	 190	6
301.2579	+29.1767	 153	   1	2
299.7438	+31.3037	 154	  10	6
300.9905	+32.2090	 155	   5	4
299.2317	+33.2183	 156	  22	4
327.6057	+13.2343	 157	  90	6
299.9830	+33.2048	 158	  16	3
300.4842	+33.1402	 159	  80	4
300.2318	+33.4725	 160	   3	2
300.4822	+33.4735	 161	   3	2
301.7332	+33.6454	 162	 180	6
302.4864	+33.3152	 163	  20	5
300.9789	+34.1423	 164	  33	4
295.9548	+36.6208	 165	 195	6
301.7302	+34.1454	 166	  40	4
313.7897	+26.6917	 167	  70	6
299.9700	+35.3047	 168	  20	1
308.2611	+30.6714	 169	  70	6
301.4767	+34.6444	 170	  60	5
300.2194	+35.4725	 171	  20	4
302.4805	+34.3152	 172	  43	4
296.4510	+37.2897	 173	  30	6
300.9728	+35.1423	 174	  80	3
303.4852	+33.8193	 175	  53	4
295.9479	+37.6208	 176	  30	6
301.2230	+35.1767	 177	  20	2
299.7143	+36.1370	 178	 100	5
301.9730	+35.3964	 179	  25	3
300.9654	+36.3089	 180	  80	5
303.4783	+34.9859	 181	  15	3
302.4713	+35.8152	 182	  90	3
300.7106	+36.9745	 183	  15	3
297.9466	+38.2962	 184	  20	6
305.9869	+34.3293	 185	  80	5
297.6933	+38.7118	 186	  20	6
301.9640	+36.8131	 187	  80	3
344.6408	 +0.1014	 188	  22	6
301.9619	+37.1464	 189	  60	4
300.9544	+37.9756	 190	  60	4
313.0175	+31.1890	 191	 210	0
301.4543	+38.1443	 192	  10	4
302.4585	+37.8151	 193	  90	5
301.2016	+38.4766	 194	   4	4
304.4689	+36.8233	 195	   7	2
298.1852	+39.9639	 196	  20	5
301.4520	+38.4776	 197	   5	4
307.2317	+35.6675	 198	 130	6
300.1927	+39.4724	 199	  35	4
298.4332	+40.2983	 200	  70	5
297.4276	+40.7940	 201	  60	6
298.9354	+40.1338	 202	  45	5
303.2067	+38.3182	 203	  20	1
295.6666	+41.7863	 204	  20	5
301.6980	+39.1453	 205	 300	6
303.9594	+38.1546	 206	  50	4
299.6857	+40.3036	 207	  40	6
302.4507	+38.9818	 208	 120	2
304.4615	+37.9899	 209	  30	5
306.9752	+36.6665	 210	  70	6
306.2205	+37.1636	 211	 240	5
304.9626	+37.9919	 212	  40	5
300.9394	+40.1422	 213	  20	4
301.9445	+39.7297	 214	   4	4
303.9550	+38.8212	 215	  40	4
