264.0083	-23.0309	 125	  0.975	3	272
265.7644	-24.0224	 126	  0.361	1	
272.0345	-27.3087	 127	  0.007	4	
262.7533	-22.2036	 128	  0.810	2	
253.7437	-16.3296	 129	  0.009	6	
266.2654	-24.1867	 130	  0.296	2	281
261.2473	-21.2108	 131	  0.362	3	
253.7183	-16.2464	 132	  0.052	4	
269.7766	-26.0030	 133	  0.117	4	
238.4096	 -4.6472	 134	  0.220	5	
270.5286	-26.3327	 135	  0.008	4	
262.2504	-21.7060	 136	  0.151	1	
252.7137	-15.4177	 137	  0.896	4	
260.9954	-20.8787	 138	  1.030	1	
259.1885	-19.7207	 139	  0.115	3	251
268.2705	-25.0103	 140	  1.010	2	
252.7129	-15.2511	 141	  0.077	5	
265.7615	-23.5224	 142	  1.480	3	279
272.5325	-26.9896	 143	  0.500	3	
265.1335	-23.0255	 144	  0.029	4	277
248.8218	-12.2688	 145	  0.145	1	
254.0922	-15.9947	 146	  0.066	5	
271.0275	-26.1636	 147	  0.047	4	
251.6071	-14.1728	 148	  0.012	5	
261.7456	-20.8751	 149	  0.518	3	266
269.2706	-25.0054	 150	 13.550	3	
271.5275	-26.1611	 151	  0.398	2	
252.4595	-14.5856	 152	  1.040	3	
265.0061	-22.6094	 153	  0.511	3	
265.5076	-22.8570	 154	  0.497	1	
264.5041	-22.2785	 155	  1.610	2	
249.3220	-12.2666	 156	  0.127	1	
272.2790	-26.4075	 157	  0.008	4	
251.9568	-14.0879	 158	  0.056	6	
267.1376	-23.6824	 159	  0.071	1	
266.2596	-23.1867	 160	  0.054	2	
267.7646	-24.0127	 161	  0.117	2	
252.2828	-14.2530	 162	  0.124	6	
252.4582	-14.3356	 163	  0.032	2	
264.2518	-21.8630	 164	  0.063	3	
274.0323	-26.9823	 165	  0.054	1	
270.5216	-25.1660	 166	  0.008	5	
271.5245	-25.6611	 167	  0.144	1	
263.2469	-21.0345	 168	  1.050	3	 80
238.1541	 -3.3149	 169	  0.860	4	
266.7588	-23.0176	 170	  0.479	1	
270.7716	-25.1648	 171	  0.316	2	
264.5004	-21.6118	 172	  0.026	4	274
259.3064	-18.3867	 173	  0.020	6	 64
264.7509	-21.6940	 174	  0.020	3	
259.5822	-18.5188	 175	  0.016	5	
272.5254	-25.8229	 176	  0.308	2	
260.7363	-19.2133	 177	  0.034	4	259
262.9941	-20.5358	 178	  0.672	4	268
260.9868	-19.2954	 179	  0.047	1	
270.7691	-24.7481	 180	  2.760	1	
277.7882	-28.0808	 181	  0.008	3	
263.2441	-20.5345	 182	  1.110	2	
238.4784	 -3.1469	 183	  0.240	5	
262.9927	-20.2858	 185	  0.108	5	270
266.0030	-22.0212	 186	  0.300	1	
273.0249	-25.7372	 187	  0.694	2	
268.2598	-23.1770	 188	  0.298	4	
265.7511	-21.6891	 189	  0.596	1	
252.0762	-12.9206	 190	  0.022	4	
251.9503	-12.7545	 191	  0.158	5	
262.7399	-19.7870	 192	  0.278	5	
263.9943	-20.5309	 193	  0.104	4	
273.2734	-25.4860	 194	  0.316	3	
273.9747	-25.7326	 195	  0.003	3	306
272.5205	-24.9896	 196	  0.002	5	
273.2725	-25.3360	 197	  0.014	2	
273.3976	-25.3687	 198	  0.010	4	
273.7731	-25.4502	 199	  0.001	5	
272.5195	-24.8230	 200	  1.050	2	
275.0260	-25.9775	 201	  3.450	2	
264.6185	-20.3612	 202	  0.122	2	
273.5964	-25.1677	 203	  0.004	4	
251.9471	-12.0879	 204	  0.167	6	
276.5282	-26.3869	 205	  0.026	2	
262.7359	-19.0370	 206	  3.560	3	
266.2474	-21.0200	 207	  2.000	3	280
273.2684	-24.6527	 208	  0.032	1	
264.4907	-19.8619	 209	  0.013	4	
272.2904	-24.1241	 210	  0.001	5	303
272.3906	-24.1569	 211	  0.008	5	
272.7665	-24.3218	 212	  0.093	5	
272.2647	-24.0075	 213	  0.001	5	302
272.2645	-23.9742	 214	  0.001	5	
269.5061	-22.5042	 215	  8.830	2	
264.4896	-19.6619	 216	  0.011	6	 79
277.0265	-26.1345	 217	  0.009	2	
268.7530	-21.9746	 218	  0.025	3	
264.8653	-19.7767	 219	  0.084	6	
262.7328	-18.4703	 220	  0.007	4	
272.7646	-23.9884	 221	  1.620	3	
265.2904	-19.7747	 222	  0.001	6	
265.1900	-19.7085	 223	  0.001	6	
272.1367	-23.4915	 224	  0.015	5	
263.2333	-18.5346	 225	  0.088	2	
265.1397	-19.6587	 226	  0.003	6	
272.5127	-23.6563	 227	  0.050	5	 90
265.1896	-19.6251	 228	  0.002	6	
265.0389	-19.5092	 229	  0.002	6	
272.2615	-23.4575	 230	  0.003	5	
265.0890	-19.5256	 231	  0.001	6	 83A
271.2580	-22.8291	 232	  0.086	1	
266.2669	-20.0199	 233	  0.001	6	
252.1924	-11.0867	 234	  1.410	3	
266.6178	-20.1849	 235	  0.038	6	 84
276.5217	-25.3036	 236	  0.029	3	
270.2542	-22.1673	 237	  0.524	1	
248.9305	 -8.7683	 238	  0.054	3	
278.3504	-26.0114	 239	  0.018	6	 98
279.2773	-26.3736	 240	  0.022	3	
272.8857	-23.3212	 241	  0.021	4	
273.0362	-23.4038	 242	  0.010	4	
273.0107	-23.3206	 243	  0.524	3	
252.9434	-11.2499	 244	  0.086	4	
277.7724	-25.4642	 245	  0.440	1	
266.2392	-19.5201	 246	 10.000	3	
276.0174	-24.5560	 247	  0.034	1	
279.0239	-25.7915	 248	  0.052	1	
272.5060	-22.4897	 249	  0.190	1	
275.8401	-24.1402	 250	  0.002	3	
277.2686	-24.8000	 251	  0.185	1	
275.7896	-24.0571	 252	  0.004	3	
280.0245	-25.9534	 253	  0.689	1	
267.4902	-19.6807	 254	  0.235	2	
251.9367	 -9.9212	 255	  0.032	6	
273.7587	-22.9836	 256	  0.377	2	
272.7555	-22.4051	 257	  0.075	2	
266.2355	-18.8534	 258	  0.180	2	
276.2641	-23.9881	 259	  0.023	3	
251.9352	 -9.5879	 260	  0.074	6	
263.9763	-17.1976	 261	  0.268	2	
270.7476	-20.9982	 262	  0.009	6	
279.0190	-24.9582	 263	  2.430	2	
267.2356	-18.8485	 264	  0.142	2	
274.2558	-22.4812	 265	  0.330	2	
277.7646	-24.1309	 266	  0.418	2	
275.8843	-23.1400	 267	  0.005	2	
275.8843	-23.1400	 268	  0.005	4	
277.3877	-23.7994	 269	  0.041	2	276
267.2329	-18.3486	 270	  0.450	2	
272.7494	-21.3218	 271	  0.016	3	
274.5038	-22.1466	 272	  0.070	3	308
266.1038	-17.6040	 273	  0.007	3	
272.3224	-20.9572	 274	  0.020	4	
272.9986	-21.1872	 275	  0.001	3	
265.9775	-17.3546	 276	  0.043	3	
266.3532	-17.4861	 277	  0.005	3	
254.6890	-10.2418	 278	  1.150	3	
268.2339	-18.5104	 279	  0.462	2	
254.6882	-10.0751	 280	  0.251	4	
271.2421	-19.9958	 281	  1.280	2	
273.2475	-20.9860	 282	  0.052	4	
264.7203	-16.0274	 283	  4.780	2	
279.0103	-23.4582	 284	  0.199	1	
268.9830	-18.3401	 285	  0.214	4	
270.4875	-19.1661	 286	  0.115	2	
260.7059	-13.3800	 287	  0.158	1	
269.4839	-18.5043	 288	  0.050	5	
270.2357	-18.8340	 289	  0.027	2	
265.7204	-16.0225	 290	  1.320	1	
274.9972	-20.9776	 291	  0.274	4	
269.4312	-18.0045	 292	  0.050	4	
269.4812	-18.0043	 293	  2.020	1	
278.0040	-22.2964	 294	  0.002	3	
278.2042	-22.3454	 295	  0.002	3	
278.1290	-22.2958	 296	  0.002	3	
281.7621	-23.9451	 297	  0.176	1	
269.7312	-18.0031	 298	  0.106	3	
255.1843	 -9.2395	 299	  0.208	2	
282.7636	-24.2736	 300	  0.370	1	
278.8549	-22.4923	 301	  0.018	2	
269.3794	-17.6715	 302	  0.040	5	 84A
271.9866	-18.9921	 303	 18.000	3	304 301 297
278.7529	-22.1261	 304	  0.020	2	
267.4718	-16.2640	 305	  4.170	2	
275.7952	-20.6404	 306	  0.025	4	
271.5586	-18.4442	 307	  0.001	6	
271.6835	-18.4269	 308	  0.001	6	
277.7494	-21.4643	 309	  0.014	4	
271.7332	-18.3600	 310	  0.004	6	
282.3840	-23.4421	 311	  0.224	2	
267.7205	-16.0128	 312	  2.610	1	
278.3747	-21.5446	 313	  0.018	3	 99
275.2417	-19.9764	 314	  3.600	3	
274.4890	-19.4800	 315	  6.000	2	
281.1798	-22.6145	 316	  0.108	1	
255.1787	 -8.0728	 317	  1.600	4	
269.9750	-16.8352	 318	  0.009	4	
270.4750	-16.8328	 319	  0.043	1	
269.9732	-16.5019	 320	  1.420	2	
282.5794	-22.6411	 321	  0.025	3	
274.9863	-18.9776	 322	  1.290	2	
273.8821	-18.1829	 323	  0.016	6	 92
260.4409	-10.3812	 324	  5.800	1	
268.4653	-15.0092	 325	  0.900	3	
267.4623	-14.4307	 326	  0.030	4	
274.2314	-18.0646	 327	  0.011	4	 93
274.2311	-17.9979	 328	  0.001	6	
280.1205	-20.8695	 329	  0.052	2	
267.6115	-14.2800	 330	  0.011	6	284
274.2301	-17.8146	 331	  0.005	4	
275.2317	-18.1430	 332	  0.014	3	
272.7249	-16.8219	 333	  0.498	1	
279.9933	-20.4535	 334	  0.075	1	
274.7800	-17.8119	 335	  0.004	3	307
274.9804	-17.8943	 336	  0.047	3	
269.4646	-14.8543	 337	  0.022	4	
268.9628	-14.5068	 338	  0.034	4	
269.1382	-14.5892	 339	  0.016	4	
269.7133	-14.6031	 340	  0.035	3	
269.8386	-14.6692	 341	  0.011	4	
275.4790	-17.6418	 342	  0.795	1	
277.2328	-18.4000	 343	  0.987	3	
280.4904	-19.9511	 344	  0.016	3	315
268.4584	-13.6759	 345	  0.240	2	
280.7403	-19.9499	 346	  0.016	3	
271.9679	-15.4922	 347	  0.190	2	
272.4688	-15.6564	 348	  0.027	2	
267.7800	-13.0125	 349	  0.011	4	
276.9796	-17.8013	 350	  0.145	3	310
275.9767	-17.2228	 351	  0.029	4	
266.4498	-12.0189	 352	  5.250	1	
278.2320	-18.2952	 353	  3.330	1	
276.2269	-17.2549	 354	  0.029	4	
267.9533	-12.6783	 355	  0.075	4	
277.6041	-17.7149	 356	  0.011	4	311
273.9691	-15.7325	 357	  0.151	1	
268.2025	-12.5104	 358	  0.750	3	
275.7228	-16.4740	 359	  5.000	3	
267.9262	-12.2618	 360	  0.009	5	
268.0008	-12.1781	 361	  0.012	5	
277.4760	-17.1322	 362	  0.465	2	
269.7050	-13.0031	 363	  2.190	2	
278.7284	-17.6262	 364	  0.102	3	
280.7323	-18.4499	 365	  0.093	1	
267.4448	-11.0141	 367	  0.800	4	
271.3309	-13.1619	 368	  1.550	4	
281.5307	-18.1961	 369	  0.016	2	
277.6462	-16.2147	 370	  0.009	4	
259.4196	 -6.0527	 371	  1.020	2	
277.6454	-16.0647	 372	  0.001	6	
261.4246	 -7.0431	 373	  0.395	1	
277.4690	-15.7989	 374	  0.348	3	
272.2050	-12.9910	 375	  0.118	4	
275.7132	-14.6407	 376	  0.730	4	
293.0719	-22.3926	 377	  0.002	3	
279.2195	-15.9571	 378	  0.088	3	
277.7155	-15.1310	 379	  0.181	4	312
275.7098	-13.9740	 380	  0.258	4	
279.3436	-15.7898	 381	  0.005	4	
266.9348	 -9.0165	 382	  0.219	4	
270.6949	-10.9983	 383	  0.754	3	
270.6936	-10.7483	 384	  7.160	1	
278.7139	-14.8429	 385	  0.011	3	
273.1998	-11.9862	 386	 18.700	3	
259.6600	 -4.0515	 387	  0.548	2	
278.2107	-14.2119	 388	  5.890	1	
278.2103	-14.1286	 389	  0.121	3	
278.9618	-14.4583	 390	  0.147	3	
258.9052	 -3.0551	 391	  0.393	3	
268.4324	 -8.5093	 392	  0.010	5	
266.1757	 -7.1869	 393	 20.000	2	
275.4509	-12.2252	 394	  1.500	1	
279.7100	-14.1214	 395	  0.416	3	
278.0056	-13.2129	 396	  0.004	3	
270.6865	 -9.3317	 397	  0.283	4	
278.2060	-13.2953	 398	  0.011	3	
276.7020	-12.4692	 399	  1.050	1	
268.9311	 -8.2568	 400	  0.095	4	
279.5333	-13.7889	 401	  0.007	5	102
277.4532	-12.7156	 402	  0.006	5	
279.2067	-13.4571	 403	  0.011	4	
277.4519	-12.4656	 404	  0.013	2	
275.6971	-11.4740	 405	 10.500	3	
276.4487	-11.8037	 406	  0.746	5	 95
278.7043	-12.9596	 407	  0.339	2	
272.6873	 -9.4886	 408	  0.474	4	
280.4564	-13.4512	 409	  1.460	4	
280.7064	-13.4500	 410	  5.000	3	
276.9469	-11.4680	 411	  0.010	5	
277.9493	-11.9632	 412	  0.018	4	
276.6457	-11.2195	 413	  0.010	5	
276.0689	-10.8389	 414	  0.010	5	
276.1929	-10.6383	 415	  0.140	4	 96  94
276.3178	-10.6377	 416	  0.005	6	
276.3177	-10.6044	 417	  0.003	5	
273.6856	 -9.1504	 418	  0.160	3	
273.1831	 -8.6529	 419	  0.108	4	
276.4412	-10.3038	 420	  0.010	5	
268.5690	 -5.8086	 421	  0.020	5	
