05.06538 -07.37239 vertex 
05.05999 -07.46570 vertex 
05.05570 -07.56730 vertex 
05.04948 -07.54840 vertex 
05.03651 -07.70520 vertex 
05.02557 -07.92801 vertex 
05.00683 -08.09548 vertex 
05.01386 -08.20303 vertex 
05.02757 -08.36024 vertex 
05.03386 -08.55027 vertex 
05.04258 -08.64947 vertex 
05.05131 -08.61927 vertex 
05.05483 -08.50368 vertex 
05.06615 -08.42110 vertex 
05.07747 -08.32744 vertex 
05.08117 -08.28886 vertex 
05.08098 -08.16223 vertex 
05.06726 -08.28621 vertex 
05.06207 -08.28347 vertex 
05.05984 -08.18437 vertex 
05.06652 -08.05772 vertex 
05.07263 -07.96960 vertex 
05.08171 -07.80709 vertex 
05.08670 -07.65837 vertex 
05.08762 -07.55375 vertex 
05.08668 -07.42989 vertex 
05.09352 -07.31417 vertex 
05.10480 -07.26166 vertex 
05.11571 -07.20084 vertex 
05.10476 -07.07868 vertex 
05.10329 -06.97127 vertex 
05.09923 -06.95461 vertex 
05.09979 -06.89957 vertex 
05.10516 -06.88323 vertex 
05.10684 -06.75113 vertex 
05.10388 -06.72901 vertex 
05.10427 -06.59963 vertex 
05.11444 -06.52561 vertex 
05.12092 -06.42392 vertex 
05.13164 -06.32232 end    
05.69426 -03.10717 start  IC 434 
05.69300 -03.06804 vertex
05.69252 -03.04631 vertex
05.69223 -03.01588 vertex
05.69194 -02.91589 vertex
05.69193 -02.82604 vertex
05.69251 -02.74779 vertex
05.69271 -02.64345 vertex
05.69212 -02.61447 vertex
05.69067 -02.57970 vertex
05.69048 -02.55362 vertex
05.69067 -02.48985 vertex
05.69048 -02.47971 vertex
05.69009 -02.47247 vertex
05.68951 -02.46812 vertex
05.68777 -02.46668 vertex
05.68690 -02.46958 vertex
05.68398 -02.48774 vertex
05.68298 -02.48726 vertex
05.68188 -02.48143 vertex
05.68175 -02.47755 vertex
05.68133 -02.45232 vertex
05.68097 -02.44407 vertex
05.68204 -02.43242 vertex
05.68256 -02.41834 vertex
05.68295 -02.41786 vertex
05.68308 -02.42368 vertex
05.68246 -02.44552 vertex
05.68408 -02.44552 vertex
05.68606 -02.42951 vertex
05.68645 -02.41640 vertex
05.68648 -02.40718 vertex
05.68593 -02.38631 vertex
05.68434 -02.36059 vertex
05.68363 -02.34215 vertex
05.68280 -02.26880 vertex
05.68280 -02.23760 vertex
05.68233 -02.22452 vertex
05.68071 -02.19534 vertex
05.68051 -02.15709 vertex
05.68018 -02.14301 vertex
05.67944 -02.13697 vertex
05.67628 -02.13193 vertex
05.67326 -02.10778 vertex
05.66964 -02.10676 vertex
05.66829 -02.10273 vertex
05.66266 -02.06750 vertex
05.66165 -02.06548 vertex
05.65876 -02.06748 vertex
05.65621 -02.05741 vertex
05.65373 -02.05739 vertex
05.65218 -02.06443 vertex
05.65071 -02.08455 vertex
05.64896 -02.09460 vertex
05.64594 -02.11874 vertex
05.64493 -02.12276 vertex
05.64661 -02.14591 vertex
05.64936 -02.14392 vertex
05.65037 -02.14996 vertex
05.65258 -02.17714 vertex
05.65507 -02.22143 vertex
05.65661 -02.24157 vertex
05.66165 -02.27983 vertex
05.66547 -02.30399 vertex
05.66655 -02.31909 vertex
05.67017 -02.41772 vertex
05.67145 -02.43886 vertex
05.67259 -02.47207 vertex
05.67312 -02.49823 vertex
05.67547 -02.56264 vertex
05.67641 -02.60290 vertex
05.67675 -02.64919 vertex
05.67762 -02.68340 vertex
05.67803 -02.75183 vertex
05.67863 -02.77901 vertex
05.67870 -02.81825 vertex
05.67930 -02.85247 vertex
05.68041 -02.87199 vertex
05.68610 -02.93112 vertex
05.68714 -02.94677 vertex
05.68830 -02.98502 vertex
05.69062 -03.04589 vertex
05.69236 -03.08240 vertex
05.69426 -03.10717 end    
05.70163 -02.24933 start  NGC 2023
05.69996 -02.21963 vertex
05.69813 -02.19401 vertex
05.69766 -02.19110 vertex
05.69630 -02.19693 vertex
05.69537 -02.18761 vertex
05.69382 -02.18528 vertex
05.69176 -02.20042 vertex
05.69106 -02.21090 vertex
05.69098 -02.22488 vertex
05.69141 -02.24643 vertex
05.69052 -02.25866 vertex
05.69048 -02.27205 vertex
05.69102 -02.28486 vertex
05.69133 -02.31107 vertex
05.69164 -02.31864 vertex
05.69269 -02.33029 vertex
05.69580 -02.34951 vertex
05.69759 -02.33902 vertex
05.69953 -02.33378 vertex
05.70070 -02.31223 vertex
05.70272 -02.31048 vertex
05.70295 -02.30058 vertex
05.70171 -02.28893 vertex
05.70143 -02.28195 vertex
05.70163 -02.24933 end       
05.71486 -02.32517 start  IC 435 
05.71606 -02.33893 vertex
05.71677 -02.34202 vertex
05.71754 -02.34202 vertex
05.71857 -02.33500 vertex
05.71915 -02.32321 vertex
05.71908 -02.29344 vertex
05.71771 -02.28698 vertex
05.71683 -02.27603 vertex
05.71509 -02.27574 vertex
05.71445 -02.28529 vertex
05.71434 -02.29709 vertex
05.71443 -02.31197 vertex
05.71486 -02.32517 end    
05.68627 -01.54711 start  IC 432 
05.68663 -01.51556 vertex
05.68611 -01.50149 vertex
05.68582 -01.45636 vertex
05.68397 -01.44956 vertex
05.68258 -01.45151 vertex
05.68197 -01.47140 vertex
05.68096 -01.48839 vertex
05.67947 -01.53207 vertex
05.67935 -01.54566 vertex
05.67954 -01.56507 vertex
05.68006 -01.56895 vertex
05.68129 -01.56944 vertex
05.68245 -01.56070 vertex
05.68627 -01.54711 end    
05.66944 -01.50149 start  IC 431 
05.66870 -01.47819 vertex
05.66870 -01.45587 vertex
05.66892 -01.44422 vertex
05.67019 -01.43015 vertex
05.67142 -01.42336 vertex
05.67232 -01.42336 vertex
05.67278 -01.43112 vertex
05.67358 -01.45781 vertex
05.67358 -01.47820 vertex
05.67333 -01.48742 vertex
05.67203 -01.50052 vertex
05.67080 -01.50828 vertex
05.67019 -01.50877 vertex
05.66944 -01.50149 end     
05.69686 -01.96955 start  NGC 2024
05.69733 -01.98353 vertex
05.69896 -02.00380 vertex
05.69985 -02.00869 vertex
05.70232 -02.01288 vertex
05.70451 -02.01288 vertex
05.70689 -02.00868 vertex
05.70968 -01.99051 vertex
05.71145 -01.97373 vertex
05.71253 -01.95556 vertex
05.71500 -01.88218 vertex
05.71523 -01.84654 vertex
05.71555 -01.83326 vertex
05.71541 -01.76337 vertex
05.71490 -01.72634 vertex
05.71429 -01.70747 vertex
05.71178 -01.66275 vertex
05.70982 -01.64039 vertex
05.70898 -01.63410 vertex
05.70674 -01.63271 vertex
05.70488 -01.64179 vertex
05.70246 -01.64459 vertex
05.70148 -01.65927 vertex
05.70068 -01.69211 vertex
05.69975 -01.69072 vertex
05.69891 -01.68233 vertex
05.69882 -01.67814 vertex
05.69901 -01.62922 vertex
05.69831 -01.60057 vertex
05.69593 -01.57191 vertex
05.69449 -01.56423 vertex
05.69299 -01.56423 vertex
05.68913 -01.59847 vertex
05.68824 -01.62852 vertex
05.68833 -01.64948 vertex
05.69066 -01.73474 vertex
05.69062 -01.75361 vertex
05.68950 -01.75920 vertex
05.68829 -01.79205 vertex
05.68759 -01.79694 vertex
05.68656 -01.79763 vertex
05.68577 -01.78925 vertex
05.68460 -01.76828 vertex
05.68325 -01.75290 vertex
05.68227 -01.74731 vertex
05.68148 -01.74661 vertex
05.67985 -01.74661 vertex
05.67887 -01.75010 vertex
05.67743 -01.76547 vertex
05.67631 -01.79412 vertex
05.67635 -01.84164 vertex
05.67682 -01.85422 vertex
05.68022 -01.89127 vertex
05.68139 -01.90036 vertex
05.68437 -01.94019 vertex
05.68810 -01.97514 vertex
05.68880 -02.00449 vertex
05.69001 -02.01148 vertex
05.69146 -02.01009 vertex
05.69309 -02.00380 vertex
05.69407 -01.99052 vertex
05.69458 -01.97375 vertex
05.69463 -01.93531 vertex
05.69393 -01.90945 vertex
05.69388 -01.88290 vertex
05.69271 -01.86193 vertex
05.69248 -01.84446 vertex
05.69323 -01.85285 vertex
05.69425 -01.85844 vertex
05.69439 -01.86682 vertex
05.69490 -01.87172 vertex
05.69514 -01.86892 vertex
05.69542 -01.85494 vertex
05.69635 -01.85425 vertex
05.69677 -01.86054 vertex
05.69644 -01.86892 vertex
05.69644 -01.88709 vertex
05.69677 -01.89478 vertex
05.69770 -01.89897 vertex
05.69696 -01.90736 vertex
05.69668 -01.91574 vertex
05.69658 -01.93531 vertex
05.69686 -01.96955 end 
06.51845 +05.57396 start  SH 2-275
06.53975 +05.54344 vertex 
06.55199 +05.47598 vertex 
06.55609 +05.36122 vertex 
06.55906 +05.29851 vertex 
06.56552 +05.26642 vertex 
06.57479 +05.26505 vertex 
06.57237 +05.10624 vertex 
06.57253 +05.00587 vertex 
06.57900 +04.98414 vertex 
