239.7134	-26.1205	   1	 150	3	2	3
256.0276	-38.1425	   2	  60	3	2	2
258.4376	-38.5031	   3	  12	2	3	3
259.9533	-39.3388	   4	   5	2	3	3
260.0145	-38.4548	   5	 100	3	2	2
258.7671	-37.1165	   6	   4	3	2	3
240.0823	-22.9506	   7	 240	3	2	1
260.3535	-36.0347	   8	 120	3	3	3
245.2954	-25.5894	   9	  80	3	2	2
259.7501	-34.0903	  10	  60	3	2	2
261.6290	-34.2057	  11	  90	3	3	3
263.9841	-32.5996	  12	 120	1	2	2
262.6190	-31.5627	  13	  40	2	2	2
262.5770	-30.2630	  14	   2	3	1	2
267.6433	-31.2641	  15	  30	2	2	2
266.9675	-29.3039	  16	  20	3	2	2
266.5367	-28.8580	  17	  25	3	2	2
267.1920	-29.2517	  18	   4	1	2	2
267.3403	-29.1169	  19	  12	1	1	2
267.3096	-28.6672	  20	  10	3	2	2
267.9127	-28.8947	  21	   5	3	2	2
268.7657	-25.0361	  22	  60	3	2	2
243.3526	 -8.3723	  23	  50	3	2	1
242.7659	 -7.0773	  24	  30	2	1	2
271.3585	-24.3942	  25	  90	3	3	3
269.7460	-23.3265	  26	  20	3	2	1
249.3017	-10.5697	  27	 480	3	2	2
270.6740	-23.5842	  28	  40	1	2	1
272.6288	-23.9985	  29	  40	3	2	2
270.8925	-23.0154	  30	  20	3	3	3
272.8265	-23.7966	  31	   8	1	1	2
272.7247	-23.6476	  32	   8	1	2	2
239.9682	 -1.6174	  33	  35	3	2	1
271.6021	-21.6584	  34	  90	3	2	2
273.9612	-20.2521	  35	  20	3	1	2
241.3764	 +0.3945	  36	  45	1	2	1
274.4297	-19.6642	  37	  20	3	2	2
272.1898	-18.2692	  38	   3	3	2	1
274.1937	-18.6497	  39	   3	3	1	2
273.0091	-17.7445	  40	  15	3	2	2
273.9643	-18.2353	  41	  90	3	2	2
272.5742	-16.8154	  42	   3	3	1	2
274.1053	-17.4005	  43	  15	2	1	2
274.1232	-16.7336	  44	  60	3	2	2
275.1922	-16.1733	  45	  60	3	3	3
271.5464	-14.1585	  46	  25	2	2	2
274.4364	-15.6139	  47	   5	1	2	2
275.6005	-14.5859	  48	  10	3	2	2
274.6692	-13.9615	  49	  90	3	3	3
276.3767	-14.7117	  50	  35	3	2	2
280.1947	-16.5583	  51	  35	3	1	1
296.9452	-23.0875	  52	   2	2	1	2
276.3115	-13.2289	  53	  15	3	2	2
274.4715	-11.7300	  54	 140	3	3	3
278.0463	-11.7621	  55	   5	3	2	1
277.7759	 -9.7146	  56	   7	1	2	1
277.6400	 -8.6159	  57	   2	3	2	1
277.8635	 -8.4637	  58	   8	3	2	2
279.2548	 -7.6003	  59	  20	3	2	1
279.1710	 -6.7010	  60	  20	3	2	2
278.2297	 -5.0100	  61	   2	3	2	3
276.8935	 -3.8562	  62	   4	3	1	1
299.4299	-14.1157	  63	  55	3	2	1
277.8997	 -1.9131	  64	  25	3	2	2
281.7422	 -3.7429	  65	   7	3	2	2
281.3755	 -1.9964	  66	   8	3	2	2
282.3539	 -2.3537	  67	  10	2	1	1
276.2979	 +0.8549	  68	   8	3	2	2
281.1091	 -0.2822	  69	  20	2	2	2
273.6622	 +7.0630	  70	   5	3	1	2
285.5113	 +2.1597	  71	   3	2	2	3
285.9599	 +2.3139	  72	  25	3	2	2
242.7818	+21.8740	  73	  75	3	2	1
287.2043	 +5.6090	  74	   3	3	2	2
284.8141	 +7.1200	  75	  10	1	2	1
284.1072	 +7.8134	  76	   7	1	2	1
297.0720	 +1.1479	  77	   8	2	1	1
285.7964	+14.1296	  78	  12	1	1	1
290.8268	+13.9761	  79	  40	3	2	1
287.8706	+16.8657	  80	   2	3	2	3
300.3062	+11.7927	  81	  10	3	1	1
292.5865	+18.2756	  82	   9	3	1	2
291.1340	+20.7959	  83	   2	1	2	2
297.2666	+18.4003	  84	  15	3	2	3
285.8218	+25.8304	  85	   6	3	2	2
295.7904	+23.2876	  86	  40	1	2	2
296.6029	+24.6281	  87	  10	3	1	1
296.4951	+25.3439	  88	  25	3	2	2
297.5100	+26.4861	  89	   5	1	2	1
297.3055	+26.8677	  90	   6	3	2	2
293.8918	+29.6045	  91	 120	3	3	2
296.6638	+28.2455	  92	  50	1	1	1
298.7551	+27.2135	  93	   1	3	2	3
291.9650	+31.4706	  94	  25	3	3	1
298.7572	+29.2969	  95	   1	1	2	2
292.1752	+32.6892	  96	  25	3	2	1
299.0219	+30.2659	  97	  10	1	2	1
299.6855	+31.4216	  98	  15	1	1	1
300.2126	+33.4928	  99	   5	3	2	3
300.4632	+33.5116	 100	   4	3	2	3
299.9897	+35.2910	 101	  20	3	2	2
307.9461	+30.6052	 102	  40	3	1	1
312.6353	+30.9234	 103	 210	3	3	3
304.4381	+36.7445	 104	   7	1	2	2
303.0116	+38.3496	 105	  18	2	3	3
306.8653	+37.3971	 106	   3	3	2	3
310.6951	+36.3428	 107	   5	2	2	2
305.6478	+40.2543	 108	 180	3	3	3
308.4103	+40.3425	 109	1080	2	3	2
320.2036	+32.4579	 110	  50	3	2	1
325.4721	+30.1057	 111	  90	3	1	1
