# Stellarium DSO Catalog Names
# --------------------------------------------------------
# Bytes    Format Label   Explanations
# --------------------------------------------------------
#  1 -  5  string prefix  catalog designator prefix
#  6 - 16  string id      catalog identificator
# 20 - 80  string name    proper name of the object (translatable)
NGC  7552            _("Grus Quartet")
NGC  7582            _("Grus Quartet")
NGC  7590            _("Grus Quartet")
NGC  7599            _("Grus Quartet")
NGC  7662            _("Blue Snowball")
NGC  7635            _("Bubble nebula")
IC   59              _("γ Cas nebula")
IC   63              _("γ Cas nebula")
IC   342             _("Maffei Group")
IC   405             _("Flaming Star nebula")
IC   417             _("Spider Nebula")
IC   418             _("Spirograph nebula")
IC   434             _("Horsehead nebula")
IC   443             _("Jellyfish nebula")
IC   708             _("Papillon")
IC   1396            _("Elephant's Trunk nebula")
IC   1805            _("Heart nebula")
IC   1848            _("Soul nebula")
IC   2118            _("Witch Head nebula")
IC   2220            _("Butterfly nebula")
IC   2574            _("Coddington's nebula")
IC   2602            _("Southern Pleiades")
IC   2944            _("Running Chicken nebula")
IC   2948            _("λ Cen nebula")
IC   3568            _("Lemon slice nebula")
IC   4406            _("Retina nebula")
IC   4593            _("White Eyed Pea")
IC   4604            _("ρ Oph nebula")
IC   4628            _("Prawn nebula")
IC   4665            _("Summer Beehive cluster")
IC   4703            _("Star Queen nebula")
IC   4756            _("Graff's cluster")
IC   5070            _("Pelican nebula")
IC   5173            _("Southern Integral Sign")
IC   5146            _("Cocoon nebula")
M    8               _("Lagoon nebula")
M    45              _("Pleiades")
B    59              _("Pipe (stem)")
B    65              _("Pipe (stem)")
B    66              _("Pipe (stem)")
B    67              _("Pipe (stem)")
B    68              _("Ink Spot Nebula")
B    72              _("The Snake")
B    78              _("Pipe (bowl)")
B    87              _("Parrot's Head")
B    142             _("E Nebula")
B    143             _("E Nebula")
SH2  3               _("Green Ring Nebula")
SH2  8               _("Bear Claw Nebula")
SH2  45              _("Lobster Nebula")
SH2  49              _("The Spire")
SH2  101             _("Cygnus Star Cloud")
SH2  103             _("Cygnus Loop")
SH2  108             _("Sadr Region")
SH2  155             _("Cave Nebula")
SH2  158             _("Dreyer's Object")
SH2  184             _("Pacman Nebula")
SH2  191             _("Maffei 1")
SH2  197             _("Maffei 2")
SH2  222             _("Northern Trifid")
SH2  240             _("Spaghetti Nebula")
SH2  264             _("Angelfish Nebula")
#SH2  273             _("Fox Fur Nebula")
SH2  274             _("Medusa Nebula")
SH2  276             _("Barnard's Loop")
SH2  292             _("Seagull Nebula")
VDB  141             _("Ghost Nebula")
